Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,56227,33558,32885,673,59.68%
1443,1162,710,695,15,61.10%
1444,1125,724,713,11,64.36%
1445,976,631,625,6,64.65%
1446,1162,707,699,8,60.84%
1447,1268,726,710,16,57.26%
1448,966,578,572,6,59.83%
1449,1086,612,600,12,56.35%
1450,999,585,581,4,58.56%
1451,1028,577,571,6,56.13%
1452,954,520,513,7,54.51%
1453,928,437,431,6,47.09%
1454,941,579,568,11,61.53%
1455,941,582,567,15,61.85%
1456,1087,624,612,12,57.41%
1457,1090,609,584,25,55.87%
1458,1019,577,569,8,56.62%
1459,1046,536,525,11,51.24%
1460,1062,610,598,12,57.44%
1461,929,556,544,12,59.85%
1462,914,562,558,4,61.49%
1463,997,568,563,5,56.97%
1464,1014,546,531,15,53.85%
1465,1087,644,631,13,59.25%
1466,1037,594,587,7,57.28%
1467,841,495,486,9,58.86%
1468,978,627,609,18,64.11%
1469,558,333,329,4,59.68%
1470,1105,664,651,13,60.09%
1471,996,629,613,16,63.15%
1472,1093,635,625,10,58.10%
1473,1114,669,656,13,60.05%
1474,1085,616,596,20,56.77%
1475,984,570,564,6,57.93%
1476,747,452,438,14,60.51%
1477,1015,570,554,16,56.16%
1478,881,525,516,9,59.59%
1479,1072,625,607,18,58.30%
1480,686,432,421,11,62.97%
1481,985,649,634,15,65.89%
1482,860,509,500,9,59.19%
1483,869,533,521,12,61.33%
1484,888,372,363,9,41.89%
1485,1233,757,748,9,61.39%
1486,994,601,582,19,60.46%
1487,822,478,470,8,58.15%
1488,889,505,493,12,56.81%
1489,948,584,569,15,61.60%
1490,711,438,431,7,61.60%
1491,963,635,622,13,65.94%
1492,828,496,486,10,59.90%
1493,807,445,435,10,55.14%
1494,889,522,512,10,58.72%
1495,968,629,607,22,64.98%
1496,909,657,646,11,72.28%
1497,696,502,485,17,72.13%
1498,990,636,628,8,64.24%
1499,942,682,668,14,72.40%
1500,1063,692,673,19,65.10%
