Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,19369,12404,11966,438,64.04%
0001,672,387,377,10,57.59%
0002,873,497,476,21,56.93%
0003,721,497,478,19,68.93%
0004,495,344,328,16,69.49%
0005,994,616,597,19,61.97%
0006,221,148,145,3,66.97%
0007,424,222,218,4,52.36%
0008,796,457,448,9,57.41%
0009,1007,723,695,28,71.80%
0010,1059,723,704,19,68.27%
0011,731,431,415,16,58.96%
0012,427,243,232,11,56.91%
0013,334,240,230,10,71.86%
0014,587,408,387,21,69.51%
0015,365,211,202,9,57.81%
0016,497,397,377,20,79.88%
0017,437,348,325,23,79.63%
0018,902,611,585,26,67.74%
0019,453,333,325,8,73.51%
0020,504,326,315,11,64.68%
0021,865,603,575,28,69.71%
0022,408,315,294,21,77.21%
0023,610,357,346,11,58.52%
0024,940,509,495,14,54.15%
0025,1207,786,765,21,65.12%
0026,636,405,391,14,63.68%
0027,524,349,339,10,66.60%
0028,569,286,281,5,50.26%
0029,1111,632,621,11,56.89%
