Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,48798,27897,27298,599,57.17%
0296,1003,606,596,10,60.42%
0297,1070,702,685,17,65.61%
0298,1329,732,722,10,55.08%
0299,1412,718,701,17,50.85%
0300,1064,531,523,8,49.91%
0301,1090,584,565,19,53.58%
0302,1016,522,516,6,51.38%
0303,1116,579,569,10,51.88%
0304,1154,608,582,26,52.69%
0305,987,589,569,20,59.68%
0306,1110,638,624,14,57.48%
0307,1098,627,614,13,57.10%
0308,1206,689,677,12,57.13%
0309,1172,712,698,14,60.75%
0310,1130,583,571,12,51.59%
0311,1337,693,680,13,51.83%
0312,1241,641,631,10,51.65%
0313,1219,628,617,11,51.52%
0314,999,585,577,8,58.56%
0315,964,564,552,12,58.51%
0316,1173,647,635,12,55.16%
0317,1021,589,577,12,57.69%
0318,1070,583,576,7,54.49%
0319,1112,679,668,11,61.06%
0320,951,563,559,4,59.20%
0321,1335,825,808,17,61.80%
0322,1343,747,734,13,55.62%
0323,1341,734,713,21,54.74%
0324,1263,635,628,7,50.28%
0325,1095,588,574,14,53.70%
0326,935,528,521,7,56.47%
0327,1126,740,723,17,65.72%
0328,908,616,598,18,67.84%
0329,650,400,387,13,61.54%
0330,356,197,193,4,55.34%
0331,1147,671,661,10,58.50%
0332,951,567,557,10,59.62%
0333,821,561,538,23,68.33%
0334,887,559,547,12,63.02%
0335,990,613,604,9,61.92%
0336,896,566,553,13,63.17%
0337,752,485,459,26,64.49%
0338,1282,824,806,18,64.27%
0339,362,243,232,11,67.13%
0340,745,376,364,12,50.47%
0341,694,357,351,6,51.44%
0342,875,473,463,10,54.06%
