Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,16775,10918,10584,334,65.08%
0246,1103,758,738,20,68.72%
0247,771,504,492,12,65.37%
0248,631,425,420,5,67.35%
0249,860,595,569,26,69.19%
0250,667,467,456,11,70.01%
0251,845,599,581,18,70.89%
0252,506,351,334,17,69.37%
0253,342,246,235,11,71.93%
0254,558,416,404,12,74.55%
0255,368,254,254,0,69.02%
0256,551,413,397,16,74.95%
0257,450,320,318,2,71.11%
0258,576,363,346,17,63.02%
0259,523,313,310,3,59.85%
0260,540,316,302,14,58.52%
0261,518,350,339,11,67.57%
0262,390,248,241,7,63.59%
0263,832,555,536,19,66.71%
0264,599,325,308,17,54.26%
0265,650,357,345,12,54.92%
0266,615,280,276,4,45.53%
0267,1116,581,562,19,52.06%
0268,753,470,456,14,62.42%
0269,1012,687,667,20,67.89%
0270,999,725,698,27,72.57%
