Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,18297,11596,11199,397,63.38%
0387,770,459,450,9,59.61%
0388,579,341,329,12,58.89%
0389,1414,843,806,37,59.62%
0390,1451,963,937,26,66.37%
0391,1084,762,721,41,70.30%
0392,1283,768,745,23,59.86%
0393,969,537,518,19,55.42%
0394,888,529,515,14,59.57%
0395,1316,749,721,28,56.91%
0396,925,539,526,13,58.27%
0397,958,577,559,18,60.23%
0398,1132,630,622,8,55.65%
0399,849,545,521,24,64.19%
0400,942,671,646,25,71.23%
0401,581,376,368,8,64.72%
0402,1314,906,876,30,68.95%
0403,604,500,480,20,82.78%
0404,681,491,469,22,72.10%
0405,557,410,390,20,73.61%
