Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,17941,11261,10935,326,62.77%
0174,1133,660,646,14,58.25%
0175,651,377,370,7,57.91%
0176,676,420,408,12,62.13%
0177,870,545,532,13,62.64%
0178,1105,704,684,20,63.71%
0179,856,536,520,16,62.62%
0180,1009,667,648,19,66.11%
0181,850,583,566,17,68.59%
0182,1327,751,740,11,56.59%
0183,376,253,249,4,67.29%
0184,318,207,192,15,65.09%
0185,664,504,483,21,75.90%
0186,732,507,489,18,69.26%
0187,664,377,360,17,56.78%
0188,743,442,427,15,59.49%
0189,267,170,162,8,63.67%
0190,634,418,411,7,65.93%
0191,586,396,383,13,67.58%
0192,632,477,463,14,75.47%
0193,1096,628,605,23,57.30%
0194,185,112,104,8,60.54%
0195,992,574,560,14,57.86%
0196,140,96,95,1,68.57%
0197,814,477,467,10,58.60%
0198,477,288,282,6,60.38%
0199,144,92,89,3,63.89%
