Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,36423,21966,21429,537,60.31%
0406,1152,767,752,15,66.58%
0407,647,401,395,6,61.98%
0408,873,530,518,12,60.71%
0409,1214,716,699,17,58.98%
0410,913,477,474,3,52.25%
0411,802,432,414,18,53.87%
0412,819,451,444,7,55.07%
0413,703,359,356,3,51.07%
0414,793,406,398,8,51.20%
0415,869,510,500,10,58.69%
0416,969,532,520,12,54.90%
0417,906,482,476,6,53.20%
0418,751,435,420,15,57.92%
0419,616,324,312,12,52.60%
0420,1075,663,652,11,61.67%
0421,1234,729,714,15,59.08%
0422,1069,624,613,11,58.37%
0423,1057,749,718,31,70.86%
0424,806,477,472,5,59.18%
0425,870,497,485,12,57.13%
0426,1066,584,573,11,54.78%
0427,667,398,384,14,59.67%
0428,727,406,398,8,55.85%
0429,683,425,420,5,62.23%
0430,722,461,447,14,63.85%
0431,836,491,480,11,58.73%
0432,805,519,512,7,64.47%
0433,809,576,560,16,71.20%
0434,1292,704,681,23,54.49%
0435,932,537,524,13,57.62%
0436,931,630,608,22,67.67%
0437,625,431,421,10,68.96%
0438,438,319,312,7,72.83%
0439,1265,692,676,16,54.70%
0440,1117,661,635,26,59.18%
0441,529,367,360,7,69.38%
0442,718,524,505,19,72.98%
0443,821,629,600,29,76.61%
0444,771,591,576,15,76.65%
0445,903,506,492,14,56.04%
0446,1062,626,614,12,58.95%
0447,566,328,319,9,57.95%
