Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,105453,59176,58150,1026,56.12%
0963,1105,535,522,13,48.42%
0964,1064,623,612,11,58.55%
0965,1051,679,665,14,64.61%
0966,1568,791,779,12,50.45%
0967,1045,477,467,10,45.65%
0968,1316,706,697,9,53.65%
0969,1223,694,682,12,56.75%
0970,988,560,555,5,56.68%
0971,1021,606,597,9,59.35%
0972,1116,637,627,10,57.08%
0973,1143,710,704,6,62.12%
0974,954,573,563,10,60.06%
0975,804,491,484,7,61.07%
0976,946,552,537,15,58.35%
0977,848,495,485,10,58.37%
0978,1117,688,672,16,61.59%
0979,1296,756,744,12,58.33%
0980,1181,730,721,9,61.81%
0981,883,523,506,17,59.23%
0982,972,528,517,11,54.32%
0983,1093,663,651,12,60.66%
0984,1001,631,621,10,63.04%
0985,1319,725,713,12,54.97%
0986,1433,927,907,20,64.69%
0987,1443,901,880,21,62.44%
0988,919,542,533,9,58.98%
0989,1007,626,619,7,62.16%
0990,896,551,537,14,61.50%
0991,983,621,611,10,63.17%
0992,1108,706,691,15,63.72%
0993,1232,669,657,12,54.30%
0994,978,546,536,10,55.83%
0995,1280,725,704,21,56.64%
0996,1049,627,612,15,59.77%
0997,934,507,495,12,54.28%
0998,944,511,504,7,54.13%
0999,952,501,490,11,52.63%
1000,800,460,447,13,57.50%
1001,913,493,483,10,54.00%
1002,1192,657,650,7,55.12%
1003,1226,717,706,11,58.48%
1004,1454,510,503,7,35.08%
1005,1208,679,665,14,56.21%
1006,1303,666,657,9,51.11%
1007,875,551,546,5,62.97%
1008,791,495,481,14,62.58%
1009,892,542,524,18,60.76%
1010,1109,644,637,7,58.07%
1011,1027,542,525,17,52.78%
1012,896,502,497,5,56.03%
1013,1033,554,544,10,53.63%
1014,1510,805,794,11,53.31%
1015,1496,775,767,8,51.80%
1016,1337,674,662,12,50.41%
1017,1106,589,580,9,53.25%
1018,1551,818,799,19,52.74%
1019,947,496,487,9,52.38%
1020,959,548,546,2,57.14%
1021,1095,634,623,11,57.90%
1022,1160,701,692,9,60.43%
1023,1148,632,627,5,55.05%
1024,1094,589,581,8,53.84%
1025,1076,581,575,6,54.00%
1026,1101,590,578,12,53.59%
1027,887,468,462,6,52.76%
1028,1192,649,647,2,54.45%
1029,1054,570,561,9,54.08%
1030,1225,748,739,9,61.06%
1031,1076,628,615,13,58.36%
1032,1333,714,690,24,53.56%
1033,1084,666,658,8,61.44%
1034,1008,560,543,17,55.56%
1035,1136,650,640,10,57.22%
1036,966,579,569,10,59.94%
1037,887,573,563,10,64.60%
1038,920,556,548,8,60.43%
1039,1019,584,576,8,57.31%
1040,924,481,472,9,52.06%
1041,977,530,519,11,54.25%
1042,972,554,548,6,57.00%
1043,1235,689,669,20,55.79%
1044,1041,567,559,8,54.47%
1045,1203,619,614,5,51.45%
1046,1143,630,615,15,55.12%
1047,1134,572,566,6,50.44%
1048,840,483,470,13,57.50%
1049,893,488,475,13,54.65%
1050,999,536,526,10,53.65%
1051,1093,604,590,14,55.26%
1052,1286,698,691,7,54.28%
1053,964,487,481,6,50.52%
1054,950,489,481,8,51.47%
1055,936,505,502,3,53.95%
1056,1140,589,578,11,51.67%
1057,1106,626,618,8,56.60%
1058,1219,670,669,1,54.96%
1059,1100,637,623,14,57.91%
