Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,18859,11452,11075,377,60.72%
0271,491,331,317,14,67.41%
0272,457,355,343,12,77.68%
0273,652,473,455,18,72.55%
0274,785,524,513,11,66.75%
0275,806,657,626,31,81.51%
0276,427,274,263,11,64.17%
0277,395,253,247,6,64.05%
0278,646,303,293,10,46.90%
0279,793,424,419,5,53.47%
0280,737,390,377,13,52.92%
0281,349,297,287,10,85.10%
0282,809,451,438,13,55.75%
0283,742,426,415,11,57.41%
0284,829,468,457,11,56.45%
0285,772,469,461,8,60.75%
0286,838,531,508,23,63.37%
0287,1141,629,609,20,55.13%
0288,683,343,336,7,50.22%
0289,562,315,298,17,56.05%
0290,570,343,337,6,60.18%
0291,1145,637,616,21,55.63%
0292,672,420,395,25,62.50%
0293,952,554,545,9,58.19%
0294,1274,680,653,27,53.38%
0295,1332,905,867,38,67.94%
