Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,64586,37469,36668,801,58.01%
1388,1311,802,792,10,61.17%
1389,1354,800,786,14,59.08%
1390,1423,817,794,23,57.41%
1391,1191,708,684,24,59.45%
1392,1454,855,834,21,58.80%
1393,1248,699,678,21,56.01%
1394,1294,781,759,22,60.36%
1395,1262,705,693,12,55.86%
1396,1089,590,577,13,54.18%
1397,1118,642,633,9,57.42%
1398,1053,584,569,15,55.46%
1399,1146,525,518,7,45.81%
1400,1380,766,755,11,55.51%
1401,1349,632,626,6,46.85%
1402,1045,597,587,10,57.13%
1403,1405,845,839,6,60.14%
1404,1311,734,721,13,55.99%
1405,1459,889,879,10,60.93%
1406,1147,648,639,9,56.50%
1407,1299,748,738,10,57.58%
1408,1061,643,634,9,60.60%
1409,1138,617,604,13,54.22%
1410,1218,771,748,23,63.30%
1411,940,605,591,14,64.36%
1412,1163,679,661,18,58.38%
1413,1383,802,789,13,57.99%
1414,1461,846,821,25,57.91%
1415,1345,761,752,9,56.58%
1416,1298,704,693,11,54.24%
1417,1230,587,579,8,47.72%
1418,888,468,459,9,52.70%
1419,1090,603,594,9,55.32%
1420,513,281,277,4,54.78%
1421,835,459,451,8,54.97%
1422,713,413,406,7,57.92%
1423,1406,765,748,17,54.41%
1424,746,429,424,5,57.51%
1425,980,580,568,12,59.18%
1426,1194,738,723,15,61.81%
1427,1202,793,763,30,65.97%
1428,944,597,582,15,63.24%
1429,1349,791,773,18,58.64%
1430,1277,791,780,11,61.94%
1431,1382,750,734,16,54.27%
1432,1255,750,733,17,59.76%
1433,1437,784,757,27,54.56%
1434,637,335,329,6,52.59%
1435,1430,886,868,18,61.96%
1436,1127,618,615,3,54.84%
1437,1103,651,636,15,59.02%
1438,916,517,505,12,56.44%
1439,885,697,669,28,78.76%
1440,1173,911,875,36,77.66%
1441,1127,658,633,25,58.39%
1442,1402,822,793,29,58.63%
