Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,41024,23191,22703,488,56.53%
0525,1086,544,530,14,50.09%
0526,1348,808,792,16,59.94%
0527,1123,650,640,10,57.88%
0528,1343,779,754,25,58.00%
0529,1363,784,769,15,57.52%
0530,1351,771,753,18,57.07%
0531,1439,770,760,10,53.51%
0532,1171,666,651,15,56.87%
0533,1498,740,732,8,49.40%
0534,1128,602,594,8,53.37%
0535,918,539,532,7,58.71%
0536,803,490,479,11,61.02%
0537,1073,697,686,11,64.96%
0538,1547,833,817,16,53.85%
0539,1227,687,671,16,55.99%
0540,1031,576,564,12,55.87%
0541,933,504,486,18,54.02%
0542,1201,643,635,8,53.54%
0543,1008,557,546,11,55.26%
0544,889,476,470,6,53.54%
0545,653,447,438,9,68.45%
0546,1005,653,630,23,64.98%
0547,1630,1099,1073,26,67.42%
0548,1058,614,598,16,58.03%
0549,824,459,452,7,55.70%
0550,1611,1096,1058,38,68.03%
0551,1566,948,924,24,60.54%
0552,1028,595,585,10,57.88%
0553,1403,863,842,21,61.51%
0554,1429,858,840,18,60.04%
0555,1597,687,679,8,43.02%
0556,1185,513,501,12,43.29%
0557,1185,564,555,9,47.59%
0558,1370,679,667,12,49.56%
