Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,104540,60503,59284,1219,57.88%
1163,885,514,501,13,58.08%
1164,1183,637,626,11,53.85%
1165,1200,689,681,8,57.42%
1166,1030,581,577,4,56.41%
1167,1058,610,601,9,57.66%
1168,1151,624,605,19,54.21%
1169,948,547,539,8,57.70%
1170,910,504,494,10,55.38%
1171,1287,755,743,12,58.66%
1172,1003,555,547,8,55.33%
1173,1088,674,666,8,61.95%
1174,1092,617,607,10,56.50%
1175,762,425,421,4,55.77%
1176,786,492,485,7,62.60%
1177,1381,677,665,12,49.02%
1178,1202,628,615,13,52.25%
1179,724,423,413,10,58.43%
1180,900,522,515,7,58.00%
1181,1142,704,692,12,61.65%
1182,952,529,517,12,55.57%
1183,852,451,440,11,52.93%
1184,840,457,451,6,54.40%
1185,898,442,435,7,49.22%
1186,1112,690,673,17,62.05%
1187,977,601,591,10,61.51%
1188,1057,627,618,9,59.32%
1189,1027,629,613,16,61.25%
1190,1165,644,633,11,55.28%
1191,943,540,528,12,57.26%
1192,1036,580,572,8,55.98%
1193,1003,579,573,6,57.73%
1194,1027,586,566,20,57.06%
1195,1102,550,545,5,49.91%
1196,1143,573,566,7,50.13%
1197,1287,794,770,24,61.69%
1198,1288,712,702,10,55.28%
1199,1201,636,624,12,52.96%
1200,1203,620,612,8,51.54%
1201,1133,581,570,11,51.28%
1202,1138,654,638,16,57.47%
1203,943,567,553,14,60.13%
1204,849,544,526,18,64.08%
1205,994,589,578,11,59.26%
1206,874,560,549,11,64.07%
1207,790,478,473,5,60.51%
1208,1008,673,659,14,66.77%
1209,875,533,527,6,60.91%
1210,903,473,464,9,52.38%
1211,892,522,512,10,58.52%
1212,1138,606,594,12,53.25%
1213,1039,523,512,11,50.34%
1214,1012,630,617,13,62.25%
1215,1060,629,621,8,59.34%
1216,1304,818,801,17,62.73%
1217,1653,899,878,21,54.39%
1218,1481,861,843,18,58.14%
1219,1440,867,849,18,60.21%
1220,1475,909,884,25,61.63%
1221,1613,937,918,19,58.09%
1222,1428,876,855,21,61.34%
1223,1977,1296,1263,33,65.55%
1224,1183,779,771,8,65.85%
1225,1075,695,682,13,64.65%
1226,1198,794,784,10,66.28%
1227,1396,848,844,4,60.74%
1228,1590,806,784,22,50.69%
1229,1008,666,656,10,66.07%
1230,1149,666,653,13,57.96%
1231,1186,689,677,12,58.09%
1232,1587,838,830,8,52.80%
1233,1112,570,561,9,51.26%
1234,1222,652,640,12,53.36%
1235,1442,798,789,9,55.34%
1236,861,467,458,9,54.24%
1237,554,316,311,5,57.04%
1238,909,590,575,15,64.91%
1239,739,471,453,18,63.73%
1240,1064,617,606,11,57.99%
1241,997,615,593,22,61.69%
1242,1148,696,672,24,60.63%
1243,1092,620,598,22,56.78%
1244,921,512,497,15,55.59%
1245,1268,719,701,18,56.70%
1246,1390,669,654,15,48.13%
1247,1234,700,685,15,56.73%
1248,914,574,562,12,62.80%
1249,681,439,422,17,64.46%
1250,1006,697,677,20,69.28%
1251,681,443,435,8,65.05%
1252,1105,627,613,14,56.74%
1253,1320,766,736,30,58.03%
1254,1073,672,651,21,62.63%
1255,982,621,606,15,63.24%
1256,1000,595,581,14,59.50%
1257,1589,833,821,12,52.42%
