Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,62113,35002,34382,620,56.35%
1060,1233,653,643,10,52.96%
1061,1144,691,681,10,60.40%
1062,1124,683,669,14,60.77%
1063,1025,542,532,10,52.88%
1064,953,457,448,9,47.95%
1065,922,432,425,7,46.85%
1066,1302,623,614,9,47.85%
1067,1295,614,606,8,47.41%
1068,1205,626,614,12,51.95%
1069,1126,558,551,7,49.56%
1070,1234,642,633,9,52.03%
1071,1218,653,642,11,53.61%
1072,716,432,425,7,60.34%
1073,881,555,538,17,63.00%
1074,736,480,469,11,65.22%
1075,765,486,482,4,63.53%
1076,990,515,506,9,52.02%
1077,1085,630,620,10,58.06%
1078,1319,728,711,17,55.19%
1079,1309,687,682,5,52.48%
1080,1204,712,695,17,59.14%
1081,1061,636,628,8,59.94%
1082,1053,667,652,15,63.34%
1083,1031,595,581,14,57.71%
1084,1134,646,638,8,56.97%
1085,1231,698,690,8,56.70%
1086,1239,761,750,11,61.42%
1087,1162,707,692,15,60.84%
1088,1146,759,753,6,66.23%
1089,1179,690,682,8,58.52%
1090,841,408,405,3,48.51%
1091,824,419,405,14,50.85%
1092,1008,503,496,7,49.90%
1093,849,450,446,4,53.00%
1094,1046,577,569,8,55.16%
1095,1037,559,548,11,53.91%
1096,900,472,467,5,52.44%
1097,1223,641,631,10,52.41%
1098,1166,604,594,10,51.80%
1099,1033,547,537,10,52.95%
1100,1032,592,584,8,57.36%
1101,855,495,487,8,57.89%
1102,1013,651,639,12,64.26%
1103,883,614,601,13,69.54%
1104,1358,646,633,13,47.57%
1105,1127,678,660,18,60.16%
1106,1173,755,737,18,64.36%
1107,1185,679,659,20,57.30%
1108,1171,596,581,15,50.90%
1109,916,570,560,10,62.23%
1110,908,549,539,10,60.46%
1111,1039,559,552,7,53.80%
1112,783,454,445,9,57.98%
1113,1000,521,512,9,52.10%
1114,911,546,531,15,59.93%
1115,840,560,546,14,66.67%
1116,1153,751,740,11,65.13%
1117,950,574,566,8,60.42%
1118,867,474,460,14,54.67%
