Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,19697,12717,12327,390,64.56%
0364,711,404,396,8,56.82%
0365,717,416,401,15,58.02%
0366,943,606,596,10,64.26%
0367,954,628,612,16,65.83%
0368,700,485,467,18,69.29%
0369,817,555,536,19,67.93%
0370,681,413,397,16,60.65%
0371,816,483,475,8,59.19%
0372,958,619,602,17,64.61%
0373,993,658,644,14,66.26%
0374,995,614,596,18,61.71%
0375,1030,690,667,23,66.99%
0376,670,369,354,15,55.07%
0377,812,461,447,14,56.77%
0378,1047,712,700,12,68.00%
0379,1015,658,647,11,64.83%
0380,889,669,648,21,75.25%
0381,848,578,566,12,68.16%
0382,818,583,564,19,71.27%
0383,625,467,441,26,74.72%
0384,577,413,401,12,71.58%
0385,1105,676,639,37,61.18%
0386,976,560,531,29,57.38%
