Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,21211,12192,11856,336,57.48%
0343,897,494,481,13,55.07%
0344,873,524,508,16,60.02%
0345,1276,645,634,11,50.55%
0346,1350,682,667,15,50.52%
0347,1261,716,699,17,56.78%
0348,1476,738,727,11,50.00%
0349,898,472,460,12,52.56%
0350,869,473,463,10,54.43%
0351,727,412,403,9,56.67%
0352,1215,693,678,15,57.04%
0353,390,238,232,6,61.03%
0354,742,405,392,13,54.58%
0355,825,413,400,13,50.06%
0356,1451,943,906,37,64.99%
0357,1437,767,742,25,53.38%
0358,760,470,451,19,61.84%
0359,1370,942,907,35,68.76%
0360,1321,894,870,24,67.68%
0361,935,535,521,14,57.22%
0362,358,253,247,6,70.67%
0363,780,483,468,15,61.92%
