Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,36152,21294,20902,392,58.90%
0625,1028,641,626,15,62.35%
0626,1061,646,641,5,60.89%
0627,888,544,531,13,61.26%
0628,1155,639,629,10,55.32%
0629,806,495,487,8,61.41%
0630,945,533,528,5,56.40%
0631,1013,611,604,7,60.32%
0632,881,509,495,14,57.78%
0633,765,445,439,6,58.17%
0634,970,429,422,7,44.23%
0635,1277,694,680,14,54.35%
0636,981,539,534,5,54.94%
0637,1249,665,655,10,53.24%
0638,776,483,473,10,62.24%
0639,951,622,609,13,65.40%
0640,971,610,603,7,62.82%
0641,1179,755,735,20,64.04%
0642,1107,663,658,5,59.89%
0643,971,578,566,12,59.53%
0644,1441,793,771,22,55.03%
0645,1176,731,710,21,62.16%
0646,1216,735,724,11,60.44%
0647,765,531,514,17,69.41%
0648,1297,743,724,19,57.29%
0649,1379,780,773,7,56.56%
0650,978,610,596,14,62.37%
0651,1069,631,620,11,59.03%
0652,1124,694,687,7,61.74%
0653,946,474,465,9,50.11%
0654,959,503,497,6,52.45%
0655,696,376,367,9,54.02%
0656,402,311,307,4,77.36%
0657,985,574,568,6,58.27%
0658,996,573,564,9,57.53%
0659,876,565,549,16,64.50%
0660,873,569,551,18,65.18%
