Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,30514,18358,18042,316,60.16%
0585,894,460,458,2,51.45%
0586,1033,599,584,15,57.99%
0587,921,433,424,9,47.01%
0588,1196,641,637,4,53.60%
0589,1208,691,681,10,57.20%
0590,1038,571,561,10,55.01%
0591,1065,585,578,7,54.93%
0592,930,544,536,8,58.49%
0593,889,390,384,6,43.87%
0594,923,583,571,12,63.16%
0595,1042,593,582,11,56.91%
0596,802,488,476,12,60.85%
0597,687,483,475,8,70.31%
0598,846,541,535,6,63.95%
0599,868,613,597,16,70.62%
0600,632,394,389,5,62.34%
0601,1134,714,703,11,62.96%
0602,1103,754,732,22,68.36%
0603,1105,725,708,17,65.61%
0604,1158,648,638,10,55.96%
0605,1038,575,562,13,55.39%
0606,1227,726,716,10,59.17%
0607,989,625,619,6,63.20%
0608,843,589,574,15,69.87%
0609,894,645,632,13,72.15%
0610,868,515,503,12,59.33%
0611,1203,718,712,6,59.68%
0612,1151,689,674,15,59.86%
0613,671,450,444,6,67.06%
0614,1008,690,683,7,68.45%
0615,1148,686,674,12,59.76%
