Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,62078,35000,34213,787,56.38%
0115,1246,595,584,11,47.75%
0116,1056,586,574,12,55.49%
0117,985,562,547,15,57.06%
0118,1088,643,634,9,59.10%
0119,1096,611,603,8,55.75%
0120,1040,577,567,10,55.48%
0121,1316,787,765,22,59.80%
0122,1393,873,854,19,62.67%
0123,824,493,487,6,59.83%
0124,946,499,489,10,52.75%
0125,678,357,351,6,52.65%
0126,981,558,550,8,56.88%
0127,858,433,424,9,50.47%
0128,828,453,445,8,54.71%
0129,1238,750,734,16,60.58%
0130,1265,723,701,22,57.15%
0131,1352,775,758,17,57.32%
0132,1208,704,693,11,58.28%
0133,1332,737,721,16,55.33%
0134,1220,710,696,14,58.20%
0135,1287,757,745,12,58.82%
0136,1332,753,741,12,56.53%
0137,1067,583,572,11,54.64%
0138,1381,762,744,18,55.18%
0139,810,404,397,7,49.88%
0140,897,517,504,13,57.64%
0141,1101,590,578,12,53.59%
0142,1146,620,606,14,54.10%
0143,938,483,479,4,51.49%
0144,965,464,458,6,48.08%
0145,1136,548,536,12,48.24%
0146,1236,655,644,11,52.99%
0147,1195,559,551,8,46.78%
0148,1059,522,514,8,49.29%
0149,1306,664,648,16,50.84%
0150,1352,700,687,13,51.78%
0151,1353,694,675,19,51.29%
0152,1141,556,546,10,48.73%
0153,1254,679,664,15,54.15%
0154,1262,678,665,13,53.72%
0155,877,523,506,17,59.64%
0156,1024,608,595,13,59.38%
0157,1184,694,684,10,58.61%
0158,894,581,561,20,64.99%
0159,675,457,433,24,67.70%
0160,1305,852,820,32,65.29%
0161,1394,919,883,36,65.93%
0162,246,168,163,5,68.29%
0163,929,649,633,16,69.86%
0164,739,503,485,18,68.06%
0165,1120,642,629,13,57.32%
0166,1321,734,718,16,55.56%
0167,1074,644,636,8,59.96%
0168,994,613,591,22,61.67%
0169,810,481,467,14,59.38%
0170,468,285,281,4,60.90%
0171,361,217,211,6,60.11%
0172,632,316,311,5,50.00%
0173,863,500,475,25,57.94%
