Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,21588,12652,12387,265,58.61%
0218,804,462,451,11,57.46%
0219,700,401,396,5,57.29%
0220,913,513,502,11,56.19%
0221,1019,623,611,12,61.14%
0222,803,528,519,9,65.75%
0223,588,407,397,10,69.22%
0224,898,555,544,11,61.80%
0225,412,256,253,3,62.14%
0226,949,549,544,5,57.85%
0227,1048,561,548,13,53.53%
0228,861,487,475,12,56.56%
0229,822,471,461,10,57.30%
0230,701,397,394,3,56.63%
0231,703,350,343,7,49.79%
0232,578,275,266,9,47.58%
0233,1115,709,698,11,63.59%
0234,1221,778,765,13,63.72%
0235,921,526,514,12,57.11%
0236,1142,619,606,13,54.20%
0237,757,383,375,8,50.59%
0238,543,299,287,12,55.06%
0239,779,377,361,16,48.40%
0240,358,179,177,2,50.00%
0241,748,570,556,14,76.20%
0242,960,536,527,9,55.83%
0243,549,370,356,14,67.40%
0244,392,278,272,6,70.92%
0245,304,193,189,4,63.49%
