Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,21122,12934,12516,418,61.23%
0084,1055,589,576,13,55.83%
0085,445,244,237,7,54.83%
0086,608,420,405,15,69.08%
0087,287,218,210,8,75.96%
0088,472,301,292,9,63.77%
0089,726,450,440,10,61.98%
0090,297,166,163,3,55.89%
0091,467,297,291,6,63.60%
0092,1042,605,583,22,58.06%
0093,1320,816,798,18,61.82%
0094,1207,696,678,18,57.66%
0095,1421,798,776,22,56.16%
0096,1260,728,709,19,57.78%
0097,1047,563,552,11,53.77%
0098,864,500,481,19,57.87%
0099,808,467,457,10,57.80%
0100,696,338,321,17,48.56%
0101,742,497,485,12,66.98%
0102,259,177,172,5,68.34%
0103,442,281,269,12,63.57%
0104,570,393,380,13,68.95%
0105,360,210,200,10,58.33%
0106,882,478,457,21,54.20%
0107,675,368,353,15,54.52%
0108,195,120,119,1,61.54%
0109,360,248,241,7,68.89%
0110,295,182,179,3,61.69%
0111,693,503,475,28,72.58%
0112,324,231,223,8,71.30%
0113,875,721,688,33,82.40%
0114,428,329,306,23,76.87%
