Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,192041,108381,106489,1892,56.44%
0803,1319,766,748,18,58.07%
0804,1383,715,702,13,51.70%
0805,1365,787,776,11,57.66%
0806,1400,679,670,9,48.50%
0807,1087,622,615,7,57.22%
0808,1142,595,588,7,52.10%
0809,1143,585,576,9,51.18%
0810,1260,671,663,8,53.25%
0811,1294,740,732,8,57.19%
0812,1361,692,679,13,50.84%
0813,1342,735,725,10,54.77%
0814,1346,764,748,16,56.76%
0815,1297,745,730,15,57.44%
0816,1267,742,728,14,58.56%
0817,1308,769,748,21,58.79%
0818,1498,830,813,17,55.41%
0819,1180,602,592,10,51.02%
0820,1270,737,727,10,58.03%
0821,1223,671,660,11,54.87%
0822,1226,697,688,9,56.85%
0823,1298,716,707,9,55.16%
0824,1306,728,716,12,55.74%
0825,1365,768,750,18,56.26%
0826,1299,746,738,8,57.43%
0827,1383,819,801,18,59.22%
0828,1348,640,624,16,47.48%
0829,1890,511,504,7,27.04%
0830,1456,800,783,17,54.95%
0831,1012,576,566,10,56.92%
0832,1111,649,637,12,58.42%
0833,1148,682,666,16,59.41%
0834,1393,838,822,16,60.16%
0835,1033,583,572,11,56.44%
0836,1277,724,702,22,56.70%
0837,1105,612,603,9,55.38%
0838,1252,738,726,12,58.95%
0839,1371,779,763,16,56.82%
0840,1212,778,767,11,64.19%
0841,1073,703,691,12,65.52%
0842,1213,753,738,15,62.08%
0843,1205,746,721,25,61.91%
0844,1283,716,704,12,55.81%
0845,1239,662,653,9,53.43%
0846,1074,593,581,12,55.21%
0847,1129,561,555,6,49.69%
0848,1092,633,622,11,57.97%
0849,1039,601,589,12,57.84%
0850,1049,587,574,13,55.96%
0851,1629,823,813,10,50.52%
0852,1621,914,902,12,56.38%
0853,1630,833,819,14,51.10%
0854,611,370,363,7,60.56%
0855,1636,710,698,12,43.40%
0856,885,515,508,7,58.19%
0857,1042,567,558,9,54.41%
0858,978,515,510,5,52.66%
0859,1058,527,520,7,49.81%
0860,1297,585,574,11,45.10%
0861,1206,670,653,17,55.56%
0862,1053,585,578,7,55.56%
0863,942,625,609,16,66.35%
0864,873,646,623,23,74.00%
0865,930,575,566,9,61.83%
0866,512,296,285,11,57.81%
0867,1281,755,746,9,58.94%
0868,1041,597,595,2,57.35%
0869,1265,748,737,11,59.13%
0870,1109,625,613,12,56.36%
0871,1092,591,583,8,54.12%
0872,1406,641,632,9,45.59%
0873,1440,751,740,11,52.15%
0874,1144,583,568,15,50.96%
0875,982,548,542,6,55.80%
0876,1203,659,647,12,54.78%
0877,1063,538,528,10,50.61%
0878,1125,640,631,9,56.89%
0879,843,444,435,9,52.67%
0880,1299,770,757,13,59.28%
0881,1112,706,696,10,63.49%
0882,1106,628,624,4,56.78%
0883,1475,726,713,13,49.22%
0884,1164,680,664,16,58.42%
0885,1229,722,708,14,58.75%
0886,1243,670,659,11,53.90%
0887,1357,744,724,20,54.83%
0888,997,537,529,8,53.86%
0889,1573,882,873,9,56.07%
0890,1385,729,712,17,52.64%
0891,1508,845,830,15,56.03%
0892,1206,729,709,20,60.45%
0893,1164,669,654,15,57.47%
0894,1323,898,882,16,67.88%
0895,1421,876,863,13,61.65%
0896,1246,730,722,8,58.59%
0897,1171,709,699,10,60.55%
0898,1226,787,771,16,64.19%
0899,1211,740,727,13,61.11%
0900,1167,692,678,14,59.30%
0901,999,568,558,10,56.86%
0902,1069,674,657,17,63.05%
0903,1099,620,605,15,56.41%
0904,984,581,566,15,59.04%
0905,1268,766,752,14,60.41%
0906,1089,645,632,13,59.23%
0907,1147,640,630,10,55.80%
0908,1145,682,669,13,59.56%
0909,1171,729,714,15,62.25%
0910,1079,701,690,11,64.97%
0911,1329,804,797,7,60.50%
0912,1120,660,650,10,58.93%
0913,1176,726,715,11,61.73%
0914,1175,657,646,11,55.91%
0915,1322,738,727,11,55.82%
0916,1204,676,660,16,56.15%
0917,1222,675,660,15,55.24%
0918,1056,600,590,10,56.82%
0919,1174,704,690,14,59.97%
0920,1189,694,683,11,58.37%
0921,1112,616,611,5,55.40%
0922,1046,616,610,6,58.89%
0923,1453,866,843,23,59.60%
0924,1290,798,774,24,61.86%
0925,1214,796,778,18,65.57%
0926,1249,758,742,16,60.69%
0927,1263,743,728,15,58.83%
0928,1286,777,747,30,60.42%
0929,1145,659,647,12,57.55%
0930,964,485,481,4,50.31%
0931,892,513,505,8,57.51%
0932,678,370,364,6,54.57%
0933,837,495,492,3,59.14%
0934,1004,545,535,10,54.28%
0935,1225,800,786,14,65.31%
0936,1380,811,797,14,58.77%
0937,1290,625,608,17,48.45%
0938,1182,600,590,10,50.76%
0939,1257,567,563,4,45.11%
0940,770,445,438,7,57.79%
0941,1096,650,646,4,59.31%
0942,1556,845,834,11,54.31%
0943,1302,692,686,6,53.15%
0944,1154,659,646,13,57.11%
0945,1207,665,655,10,55.10%
0946,1291,774,763,11,59.95%
0947,1364,790,778,12,57.92%
0948,1047,613,606,7,58.55%
0949,1215,656,641,15,53.99%
0950,958,641,631,10,66.91%
0951,990,623,611,12,62.93%
0952,1391,901,886,15,64.77%
0953,1300,832,825,7,64.00%
0954,1040,603,597,6,57.98%
0955,1095,657,646,11,60.00%
0956,1039,616,601,15,59.29%
0957,1428,763,752,11,53.43%
0958,1304,683,676,7,52.38%
0959,1262,735,725,10,58.24%
0960,1359,747,739,8,54.97%
0961,1142,502,493,9,43.96%
0962,1101,578,569,9,52.50%
