Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,11559,6908,6759,149,59.76%
0499,1141,674,663,11,59.07%
0500,945,532,517,15,56.30%
0501,764,452,446,6,59.16%
0502,798,447,438,9,56.02%
0503,954,573,559,14,60.06%
0504,567,335,331,4,59.08%
0505,591,327,318,9,55.33%
0506,868,462,458,4,53.23%
0507,473,266,262,4,56.24%
0508,476,357,343,14,75.00%
0509,459,263,260,3,57.30%
0510,685,422,413,9,61.61%
0511,653,365,360,5,55.90%
0512,742,407,400,7,54.85%
0513,546,421,410,11,77.11%
0514,897,605,581,24,67.45%
