Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,98209,66434,65863,571,67.65%
1046,1106,760,752,8,68.72%
1047,1234,806,798,8,65.32%
1048,935,642,636,6,68.66%
1049,904,578,570,8,63.94%
1050,724,411,409,2,56.77%
1051,1254,841,838,3,67.07%
1052,1225,800,792,8,65.31%
1053,1331,862,856,6,64.76%
1054,926,624,621,3,67.39%
1055,857,602,593,9,70.25%
1056,1027,678,672,6,66.02%
1057,1167,782,772,10,67.01%
1058,864,578,576,2,66.90%
1059,1061,730,720,10,68.80%
1060,1061,750,742,8,70.69%
1061,1159,772,765,7,66.61%
1062,1186,766,762,4,64.59%
1063,1164,792,778,14,68.04%
1064,1152,728,721,7,63.19%
1065,1109,748,742,6,67.45%
1066,1145,768,762,6,67.07%
1067,1244,824,817,7,66.24%
1068,906,638,634,4,70.42%
1069,1063,737,731,6,69.33%
1070,911,627,623,4,68.83%
1071,1053,728,725,3,69.14%
1072,1236,816,809,7,66.02%
1073,1196,788,781,7,65.89%
1074,1213,851,844,7,70.16%
1075,996,669,657,12,67.17%
1076,1145,769,762,7,67.16%
1077,1205,801,789,12,66.47%
1078,1174,795,792,3,67.72%
1079,1307,878,866,12,67.18%
1080,1073,728,723,5,67.85%
1081,1289,929,921,8,72.07%
1082,1287,862,854,8,66.98%
1083,1032,703,699,4,68.12%
1084,1073,762,755,7,71.02%
1085,1066,729,723,6,68.39%
1086,1077,724,714,10,67.22%
1087,1327,933,926,7,70.31%
1088,1272,900,893,7,70.75%
1089,1230,877,871,6,71.30%
1090,1233,844,836,8,68.45%
1091,1016,635,632,3,62.50%
1092,1068,723,714,9,67.70%
1093,1286,917,907,10,71.31%
1094,1542,1092,1076,16,70.82%
1095,943,632,625,7,67.02%
1096,876,619,616,3,70.66%
1097,1144,789,780,9,68.97%
1098,983,665,659,6,67.65%
1099,993,696,691,5,70.09%
1100,1372,882,877,5,64.29%
1101,1200,873,868,5,72.75%
1102,1225,864,856,8,70.53%
1103,1266,905,899,6,71.48%
1104,868,638,628,10,73.50%
1105,2015,718,712,6,35.63%
1106,935,648,646,2,69.30%
1107,1045,631,625,6,60.38%
1108,1085,743,738,5,68.48%
1109,973,666,661,5,68.45%
1110,903,655,652,3,72.54%
1111,1062,729,724,5,68.64%
1112,1050,736,732,4,70.10%
1113,1058,733,727,6,69.28%
1114,1134,776,763,13,68.43%
1115,952,662,658,4,69.54%
1116,909,612,610,2,67.33%
1117,913,610,609,1,66.81%
1118,1022,722,716,6,70.65%
1119,1120,790,786,4,70.54%
1120,1220,846,837,9,69.34%
1121,1185,782,772,10,65.99%
1122,1180,774,768,6,65.59%
1123,1241,829,822,7,66.80%
1124,1082,700,698,2,64.70%
1125,1152,806,804,2,69.97%
1126,1024,702,694,8,68.55%
1127,1093,794,791,3,72.64%
1128,1014,732,723,9,72.19%
1129,1081,758,754,4,70.12%
1130,1130,792,783,9,70.09%
1131,1213,862,854,8,71.06%
1132,1247,910,907,3,72.98%
1133,1190,856,847,9,71.93%
