Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,223525,151040,149952,1088,67.57%
1387,1027,664,662,2,64.65%
1388,993,635,634,1,63.95%
1389,1065,715,711,4,67.14%
1390,1058,740,739,1,69.94%
1391,1333,933,929,4,69.99%
1392,1204,795,793,2,66.03%
1393,1406,975,972,3,69.35%
1394,1141,787,784,3,68.97%
1395,1343,942,938,4,70.14%
1396,1223,853,845,8,69.75%
1397,1297,895,891,4,69.01%
1398,1106,738,731,7,66.73%
1399,1138,784,779,5,68.89%
1400,1324,907,899,8,68.50%
1401,1242,826,817,9,66.51%
1402,1279,846,844,2,66.15%
1403,1010,665,659,6,65.84%
1404,986,599,594,5,60.75%
1405,967,646,639,7,66.80%
1406,818,510,508,2,62.35%
1407,827,571,570,1,69.04%
1408,1207,843,839,4,69.84%
1409,1113,772,766,6,69.36%
1410,1143,780,776,4,68.24%
1411,1396,919,909,10,65.83%
1412,1261,864,857,7,68.52%
1413,1419,935,931,4,65.89%
1414,1151,764,757,7,66.38%
1415,1315,854,848,6,64.94%
1416,1124,770,763,7,68.51%
1417,1100,738,731,7,67.09%
1418,1012,660,656,4,65.22%
1419,984,670,665,5,68.09%
1420,1064,653,647,6,61.37%
1421,1268,856,852,4,67.51%
1422,1125,757,751,6,67.29%
1423,1093,695,691,4,63.59%
1424,1124,713,707,6,63.43%
1425,970,645,644,1,66.49%
1426,1155,783,777,6,67.79%
1427,1155,809,804,5,70.04%
1428,976,653,652,1,66.91%
1429,1202,778,772,6,64.73%
1430,1285,863,858,5,67.16%
1431,1240,842,837,5,67.90%
1432,1051,720,709,11,68.51%
1433,1187,843,837,6,71.02%
1434,1026,728,725,3,70.96%
1435,1131,760,753,7,67.20%
1436,1129,784,777,7,69.44%
1437,1122,804,800,4,71.66%
1438,1144,790,780,10,69.06%
1439,1162,774,767,7,66.61%
1440,2455,719,708,11,29.29%
1441,1127,736,729,7,65.31%
1442,1209,857,845,12,70.89%
1443,1329,947,942,5,71.26%
1444,980,681,681,0,69.49%
1445,1215,858,849,9,70.62%
1446,1073,742,741,1,69.15%
1447,1169,754,749,5,64.50%
1448,1160,744,739,5,64.14%
1449,1152,741,734,7,64.32%
1450,1195,783,780,3,65.52%
1451,1104,747,740,7,67.66%
1452,900,646,638,8,71.78%
1453,878,617,612,5,70.27%
1454,967,658,656,2,68.05%
1455,1374,951,943,8,69.21%
1456,1438,1011,1005,6,70.31%
1457,1399,974,969,5,69.62%
1458,1406,1006,998,8,71.55%
