District,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,2026769,1372179,1360951,11228,67.70%
Songshan Dist.,151159,104722,103919,803,69.28%
Xinyi Dist.,170907,115215,114325,890,67.41%
Da’an Dist.,223525,151040,149952,1088,67.57%
Zhongshan Dist.,176271,118354,117402,952,67.14%
Zhongzheng Dist.,115582,77829,77230,599,67.34%
Datong Dist.,98209,66434,65863,571,67.65%
Wanhua Dist.,148984,98954,97893,1061,66.42%
Wenshan Dist.,210341,143527,142410,1117,68.24%
Nangang Dist.,94414,63087,62580,507,66.82%
Neihu Dist.,220493,149952,148858,1094,68.01%
Shilin Dist.,219458,149871,148459,1412,68.29%
Beitou Dist.,197426,133194,132060,1134,67.47%
