Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,94414,63087,62580,507,66.82%
0517,1061,664,657,7,62.58%
0518,1334,872,865,7,65.37%
0519,1216,808,798,10,66.45%
0520,1689,813,811,2,48.13%
0521,959,629,623,6,65.59%
0522,1058,688,680,8,65.03%
0523,899,598,592,6,66.52%
0524,1199,765,763,2,63.80%
0525,1226,760,758,2,61.99%
0526,1206,772,768,4,64.01%
0527,1195,750,746,4,62.76%
0528,1256,792,783,9,63.06%
0529,937,674,665,9,71.93%
0530,1098,764,762,2,69.58%
0531,1065,756,750,6,70.99%
0532,1325,857,850,7,64.68%
0533,1185,816,811,5,68.86%
0534,1179,818,806,12,69.38%
0535,1290,869,866,3,67.36%
0536,1207,866,863,3,71.75%
0537,1271,844,837,7,66.40%
0538,1319,837,829,8,63.46%
0539,1247,884,876,8,70.89%
0540,1241,787,776,11,63.42%
0541,1319,905,902,3,68.61%
0542,1285,778,772,6,60.54%
0543,1376,820,814,6,59.59%
0544,1137,696,691,5,61.21%
0545,1292,793,786,7,61.38%
0546,1120,709,703,6,63.30%
0547,1159,709,702,7,61.17%
0548,1139,691,688,3,60.67%
0549,1236,788,780,8,63.75%
0550,1106,742,739,3,67.09%
0551,1120,741,740,1,66.16%
0552,1067,712,707,5,66.73%
0553,1027,676,671,5,65.82%
0554,1124,800,797,3,71.17%
0555,1161,799,792,7,68.82%
0556,1360,948,938,10,69.71%
0557,1146,803,797,6,70.07%
0558,1115,739,737,2,66.28%
0559,1128,726,722,4,64.36%
0560,1184,821,820,1,69.34%
0561,1246,859,848,11,68.94%
0562,1260,853,843,10,67.70%
0563,1267,846,842,4,66.77%
0564,1332,899,892,7,67.49%
0565,1247,848,843,5,68.00%
0566,1288,880,871,9,68.32%
0567,968,655,652,3,67.67%
0568,1156,774,765,9,66.96%
0569,1158,799,787,12,69.00%
0570,1043,684,682,2,65.58%
0571,1057,687,679,8,65.00%
0572,1061,734,729,5,69.18%
0573,1049,728,725,3,69.40%
0574,961,618,613,5,64.31%
0575,1315,950,944,6,72.24%
0576,1360,965,950,15,70.96%
0577,1289,918,909,9,71.22%
0578,1101,777,771,6,70.57%
0579,1141,821,816,5,71.95%
0580,1199,864,861,3,72.06%
0581,1263,863,858,5,68.33%
0582,1192,820,818,2,68.79%
0583,1247,865,856,9,69.37%
0584,1452,921,910,11,63.43%
0585,1448,948,938,10,65.47%
0586,1443,943,935,8,65.35%
0587,1297,901,889,12,69.47%
0588,1326,918,914,4,69.23%
0589,1095,764,757,7,69.77%
0590,1189,901,892,9,75.78%
0591,1170,825,812,13,70.51%
0592,1040,744,733,11,71.54%
0593,921,679,677,2,73.72%
0594,1249,885,876,9,70.86%
0595,1321,872,860,12,66.01%
