Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,220493,149952,148858,1094,68.01%
0352,1101,845,843,2,76.75%
0353,1102,737,734,3,66.88%
0354,1163,820,817,3,70.51%
0355,1174,821,816,5,69.93%
0356,1208,861,858,3,71.27%
0357,1261,855,852,3,67.80%
0358,1336,958,950,8,71.71%
0359,1315,935,931,4,71.10%
0360,1394,904,896,8,64.85%
0361,1234,851,847,4,68.96%
0362,1212,842,833,9,69.47%
0363,1225,848,841,7,69.22%
0364,1337,907,902,5,67.84%
0365,1294,888,883,5,68.62%
0366,1451,1009,1002,7,69.54%
0367,1244,860,856,4,69.13%
0368,1103,800,796,4,72.53%
0369,1264,894,886,8,70.73%
0370,1157,838,837,1,72.43%
0371,1562,1097,1089,8,70.23%
0372,1428,981,978,3,68.70%
0373,1377,984,978,6,71.46%
0374,1225,814,807,7,66.45%
0375,1334,921,907,14,69.04%
0376,1146,766,760,6,66.84%
0377,1493,1070,1060,10,71.67%
0378,1145,761,754,7,66.46%
0379,1160,787,785,2,67.84%
0380,1426,977,972,5,68.51%
0381,1485,1024,1018,6,68.96%
0382,1421,1003,997,6,70.58%
0383,1479,1029,1024,5,69.57%
0384,1459,1046,1042,4,71.69%
0385,1362,914,909,5,67.11%
0386,1314,848,844,4,64.54%
0387,1330,869,863,6,65.34%
0388,1308,947,942,5,72.40%
0389,1439,1054,1045,9,73.25%
0390,1450,1041,1028,13,71.79%
0391,1445,1047,1041,6,72.46%
0392,1271,898,888,10,70.65%
0393,1028,709,703,6,68.97%
0394,1444,1001,990,11,69.32%
0395,1228,856,849,7,69.71%
0396,1319,933,927,6,70.74%
0397,1270,874,866,8,68.82%
0398,1258,871,861,10,69.24%
0399,1443,971,965,6,67.29%
0400,1480,1060,1053,7,71.62%
0401,1421,974,968,6,68.54%
0402,1527,1052,1041,11,68.89%
0403,1404,959,950,9,68.30%
0404,1475,1049,1039,10,71.12%
0405,1377,938,933,5,68.12%
0406,1420,1028,1014,14,72.39%
0407,1289,850,840,10,65.94%
0408,1396,978,968,10,70.06%
0409,389,256,253,3,65.81%
0410,1528,1062,1055,7,69.50%
0411,1277,916,910,6,71.73%
0412,1268,901,896,5,71.06%
0413,1324,845,839,6,63.82%
0414,1243,829,822,7,66.69%
0415,1043,733,730,3,70.28%
0416,1079,733,725,8,67.93%
0417,1216,847,840,7,69.65%
0418,1439,1017,1011,6,70.67%
0419,1426,1028,1023,5,72.09%
0420,1506,1058,1048,10,70.25%
0421,1203,903,896,7,75.06%
0422,1279,918,911,7,71.77%
0423,1440,953,946,7,66.18%
0424,1464,928,925,3,63.39%
0425,1391,910,905,5,65.42%
0426,1341,938,933,5,69.95%
0427,1479,1004,998,6,67.88%
0428,1237,798,790,8,64.51%
0429,1306,865,861,4,66.23%
0430,1266,895,886,9,70.70%
0431,1556,1098,1095,3,70.57%
0432,1405,983,977,6,69.96%
0433,1241,887,885,2,71.47%
0434,1210,848,843,5,70.08%
0435,1173,826,821,5,70.42%
0436,1204,878,871,7,72.92%
0437,1350,923,917,6,68.37%
0438,1158,821,811,10,70.90%
0439,1184,854,846,8,72.13%
0440,1339,881,872,9,65.80%
0441,1339,879,870,9,65.65%
0442,1386,912,908,4,65.80%
0443,1352,864,855,9,63.91%
0444,1454,961,953,8,66.09%
0445,1410,893,889,4,63.33%
0446,1343,877,873,4,65.30%
0447,1221,800,794,6,65.52%
0448,1312,887,876,11,67.61%
0449,1429,947,946,1,66.27%
0450,1284,906,902,4,70.56%
0451,1327,839,834,5,63.23%
0452,1255,779,776,3,62.07%
0453,1251,816,811,5,65.23%
0454,1347,871,861,10,64.66%
0455,1300,826,819,7,63.54%
0456,1078,772,760,12,71.61%
0457,1085,755,752,3,69.59%
0458,926,664,659,5,71.71%
0459,677,459,447,12,67.80%
0460,1430,935,923,12,65.38%
0461,1503,1006,998,8,66.93%
0462,1305,891,883,8,68.28%
0463,1548,1043,1034,9,67.38%
0464,1561,999,993,6,64.00%
0465,1323,922,907,15,69.69%
0466,1458,1026,1014,12,70.37%
0467,1489,1049,1040,9,70.45%
0468,1567,1079,1075,4,68.86%
0469,1349,856,844,12,63.45%
0470,1281,813,805,8,63.47%
0471,640,384,382,2,60.00%
0472,1527,994,991,3,65.09%
0473,2784,1074,1068,6,38.58%
0474,1446,935,927,8,64.66%
0475,1452,1038,1032,6,71.49%
0476,1524,1061,1055,6,69.62%
0477,1579,1067,1055,12,67.57%
0478,1587,1063,1054,9,66.98%
0479,1091,693,688,5,63.52%
0480,1151,778,774,4,67.59%
0481,1140,780,774,6,68.42%
0482,1311,919,912,7,70.10%
0483,1329,898,889,9,67.57%
0484,1239,871,862,9,70.30%
0485,1261,838,826,12,66.46%
0486,1255,869,866,3,69.24%
0487,1244,868,865,3,69.77%
0488,1589,1082,1068,14,68.09%
0489,1494,1009,999,10,67.54%
0490,1250,860,854,6,68.80%
0491,1508,1004,993,11,66.58%
0492,1488,1010,1002,8,67.88%
0493,1512,1023,1018,5,67.66%
0494,1515,1064,1062,2,70.23%
0495,1553,1090,1086,4,70.19%
