Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,219458,149871,148459,1412,68.29%
0170,1084,765,752,13,70.57%
0171,947,685,679,6,72.33%
0172,1086,792,785,7,72.93%
0173,1286,857,844,13,66.64%
0174,1294,852,846,6,65.84%
0175,588,390,386,4,66.33%
0176,751,475,469,6,63.25%
0177,1009,721,713,8,71.46%
0178,867,643,639,4,74.16%
0179,920,632,629,3,68.70%
0180,994,695,691,4,69.92%
0181,2002,549,545,4,27.42%
0182,1114,772,769,3,69.30%
0183,1123,791,783,8,70.44%
0184,1097,778,774,4,70.92%
0185,1309,952,946,6,72.73%
0186,1428,1071,1063,8,75.00%
0187,1280,891,881,10,69.61%
0188,1137,782,776,6,68.78%
0189,1367,991,983,8,72.49%
0190,1149,804,794,10,69.97%
0191,1026,726,714,12,70.76%
0192,1231,886,875,11,71.97%
0193,1396,963,957,6,68.98%
0194,1369,1036,1027,9,75.68%
0195,1159,785,776,9,67.73%
0196,1284,880,869,11,68.54%
0197,1323,849,840,9,64.17%
0198,1326,867,860,7,65.38%
0199,1234,812,808,4,65.80%
0200,1317,900,889,11,68.34%
0201,1294,848,840,8,65.53%
0202,1266,887,883,4,70.06%
0203,1368,994,984,10,72.66%
0204,1418,968,962,6,68.27%
0205,1252,865,858,7,69.09%
0206,1285,868,857,11,67.55%
0207,1061,725,717,8,68.33%
0208,1394,948,941,7,68.01%
0209,1353,927,921,6,68.51%
0210,1368,944,938,6,69.01%
0211,1362,892,887,5,65.49%
0212,1046,690,682,8,65.97%
0213,1246,847,843,4,67.98%
0214,1048,682,678,4,65.08%
0215,1101,719,706,13,65.30%
0216,1188,777,771,6,65.40%
0217,997,628,623,5,62.99%
0218,1388,890,880,10,64.12%
0219,1518,1065,1056,9,70.16%
0220,1293,921,914,7,71.23%
0221,1311,916,908,8,69.87%
0222,1278,941,939,2,73.63%
0223,1095,726,716,10,66.30%
0224,998,646,642,4,64.73%
0225,1118,764,759,5,68.34%
0226,1249,882,873,9,70.62%
0227,1218,876,863,13,71.92%
0228,1190,826,817,9,69.41%
0229,1257,914,889,25,72.71%
0230,1270,894,886,8,70.39%
