Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,151159,104722,103919,803,69.28%
0596,1020,701,698,3,68.73%
0597,1071,716,709,7,66.85%
0598,1107,757,753,4,68.38%
0599,1023,641,634,7,62.66%
0600,1189,843,839,4,70.90%
0601,1228,849,845,4,69.14%
0602,1189,827,819,8,69.55%
0603,1179,841,839,2,71.33%
0604,1231,864,861,3,70.19%
0605,1005,727,719,8,72.34%
0606,1037,712,709,3,68.66%
0607,1175,798,791,7,67.91%
0608,1010,682,679,3,67.52%
0609,984,692,681,11,70.33%
0610,1210,910,907,3,75.21%
0611,1263,899,895,4,71.18%
0612,1162,847,843,4,72.89%
0613,967,705,702,3,72.91%
0614,1116,795,791,4,71.24%
0615,1010,709,706,3,70.20%
0616,927,639,635,4,68.93%
0617,1027,704,699,5,68.55%
0618,949,690,688,2,72.71%
0619,941,682,680,2,72.48%
0620,966,648,645,3,67.08%
0621,1138,803,794,9,70.56%
0622,1272,904,898,6,71.07%
0623,1139,778,773,5,68.31%
0624,1100,779,773,6,70.82%
0625,1052,747,739,8,71.01%
0626,1132,818,813,5,72.26%
0627,1073,747,743,4,69.62%
0628,1153,823,818,5,71.38%
0629,1042,732,730,2,70.25%
0630,917,649,645,4,70.77%
0631,935,659,654,5,70.48%
0632,920,656,653,3,71.30%
0633,921,660,658,2,71.66%
0634,902,611,604,7,67.74%
0635,913,640,636,4,70.10%
0636,1099,812,806,6,73.89%
0637,1216,867,863,4,71.30%
0638,1125,806,803,3,71.64%
0639,1087,726,719,7,66.79%
0640,1120,757,756,1,67.59%
0641,1117,805,802,3,72.07%
0642,1073,757,751,6,70.55%
0643,997,708,703,5,71.01%
0644,990,719,714,5,72.63%
0645,1065,752,748,4,70.61%
0646,1022,721,713,8,70.55%
0647,1145,821,816,5,71.70%
0648,1212,861,854,7,71.04%
0649,1155,822,817,5,71.17%
0650,1085,760,758,2,70.05%
0651,1284,889,884,5,69.24%
0652,1184,878,870,8,74.16%
0653,1169,852,845,7,72.88%
0654,1064,767,759,8,72.09%
0655,1151,813,806,7,70.63%
0656,1141,824,816,8,72.22%
0657,1081,740,736,4,68.46%
0658,1232,827,818,9,67.13%
0659,1288,912,904,8,70.81%
0660,1212,870,862,8,71.78%
0661,1223,878,872,6,71.79%
0662,991,717,712,5,72.35%
0663,874,605,595,10,69.22%
0664,956,635,631,4,66.42%
0665,1449,1037,1027,10,71.57%
0666,1309,885,875,10,67.61%
0667,1410,977,963,14,69.29%
0668,1419,938,928,10,66.10%
0669,1202,830,815,15,69.05%
0670,757,501,495,6,66.18%
0671,1124,763,758,5,67.88%
0672,1159,871,867,4,75.15%
0673,1044,694,686,8,66.48%
0674,1312,944,933,11,71.95%
0675,1213,839,835,4,69.17%
0676,1097,768,761,7,70.01%
0677,1055,729,728,1,69.10%
0678,1214,850,841,9,70.02%
0679,1185,883,871,12,74.51%
0680,1407,975,964,11,69.30%
0681,1116,738,730,8,66.13%
0682,1201,790,779,11,65.78%
0683,978,647,639,8,66.16%
0684,2050,729,721,8,35.56%
0685,1180,763,757,6,64.66%
0686,1088,766,762,4,70.40%
0687,1002,676,669,7,67.47%
0688,1077,739,737,2,68.62%
0689,1021,697,691,6,68.27%
0690,1069,759,755,4,71.00%
0691,1293,858,854,4,66.36%
0692,1298,910,904,6,70.11%
0693,1197,814,807,7,68.00%
0694,1248,852,849,3,68.27%
0695,1234,837,828,9,67.83%
0696,1317,949,938,11,72.06%
0697,1257,923,915,8,73.43%
0698,1252,909,902,7,72.60%
0699,1086,758,747,11,69.80%
0700,1263,803,797,6,63.58%
0701,1221,854,851,3,69.94%
0702,1159,731,724,7,63.07%
0703,1257,839,832,7,66.75%
0704,1237,850,848,2,68.71%
0705,968,625,624,1,64.57%
0706,1121,760,759,1,67.80%
0707,1122,794,791,3,70.77%
0708,863,583,580,3,67.56%
0709,835,545,537,8,65.27%
0710,906,630,626,4,69.54%
0711,849,620,615,5,73.03%
0712,1081,738,732,6,68.27%
0713,897,649,639,10,72.35%
0714,972,661,654,7,68.00%
0715,1195,859,856,3,71.88%
0716,1254,864,859,5,68.90%
0717,1363,988,966,22,72.49%
0718,1361,991,977,14,72.81%
0719,1358,934,928,6,68.78%
0720,1224,848,844,4,69.28%
0721,1227,855,846,9,69.68%
0722,1245,856,848,8,68.76%
0723,1008,726,721,5,72.02%
0724,1310,850,844,6,64.89%
0725,1115,802,796,6,71.93%
0726,1232,836,827,9,67.86%
0727,1260,862,856,6,68.41%
0728,1064,743,741,2,69.83%
0729,919,643,639,4,69.97%
