Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,148984,98954,97893,1061,66.42%
1250,1110,743,732,11,66.94%
1251,1114,713,698,15,64.00%
1252,1120,690,684,6,61.61%
1253,1056,678,667,11,64.20%
1254,835,511,507,4,61.20%
1255,947,547,539,8,57.76%
1256,894,500,495,5,55.93%
1257,1035,615,609,6,59.42%
1258,1008,644,642,2,63.89%
1259,927,559,553,6,60.30%
1260,1108,721,710,11,65.07%
1261,1083,689,682,7,63.62%
1262,1220,791,779,12,64.84%
1263,1082,711,706,5,65.71%
1264,1185,760,753,7,64.14%
1265,1196,755,745,10,63.13%
1266,1167,793,789,4,67.95%
1267,1289,839,825,14,65.09%
1268,1353,940,930,10,69.48%
1269,1363,894,884,10,65.59%
1270,1251,821,809,12,65.63%
1271,1144,702,691,11,61.36%
1272,1230,762,752,10,61.95%
1273,1043,647,642,5,62.03%
1274,1149,766,758,8,66.67%
1275,962,617,611,6,64.14%
1276,971,684,680,4,70.44%
1277,1201,770,770,0,64.11%
1278,899,623,615,8,69.30%
1279,1039,686,679,7,66.03%
1280,1089,776,761,15,71.26%
1281,941,658,652,6,69.93%
1282,989,657,651,6,66.43%
1283,812,573,567,6,70.57%
1284,2570,760,750,10,29.57%
1285,842,624,621,3,74.11%
1286,893,642,634,8,71.89%
1287,867,623,617,6,71.86%
1288,958,600,594,6,62.63%
1289,1125,734,724,10,65.24%
1290,1048,681,670,11,64.98%
1291,1061,652,644,8,61.45%
1292,1131,735,721,14,64.99%
1293,1161,812,805,7,69.94%
1294,1102,776,765,11,70.42%
1295,1159,862,852,10,74.37%
1296,1188,814,805,9,68.52%
1297,1139,670,666,4,58.82%
1298,1163,807,800,7,69.39%
1299,1106,773,761,12,69.89%
1300,1165,777,766,11,66.70%
1301,1055,750,743,7,71.09%
1302,1185,814,807,7,68.69%
1303,1157,759,752,7,65.60%
1304,1185,800,787,13,67.51%
1305,945,624,618,6,66.03%
1306,1093,782,773,9,71.55%
1307,1010,700,694,6,69.31%
1308,1373,944,932,12,68.75%
1309,1329,918,912,6,69.07%
1310,1257,809,804,5,64.36%
1311,1259,843,834,9,66.96%
1312,1121,747,738,9,66.64%
1313,1221,829,818,11,67.90%
1314,973,652,646,6,67.01%
1315,1126,781,771,10,69.36%
1316,984,676,674,2,68.70%
1317,1120,699,694,5,62.41%
1318,1065,661,656,5,62.07%
1319,1063,664,660,4,62.46%
1320,845,490,478,12,57.99%
1321,1123,689,682,7,61.35%
1322,1141,744,739,5,65.21%
1323,1061,701,696,5,66.07%
1324,1252,852,844,8,68.05%
1325,1106,792,784,8,71.61%
1326,929,619,616,3,66.63%
1327,984,693,688,5,70.43%
1328,1007,721,719,2,71.60%
1329,1258,848,845,3,67.41%
1330,1141,797,785,12,69.85%
1331,1256,870,863,7,69.27%
1332,1146,785,779,6,68.50%
1333,1182,775,766,9,65.57%
1334,1195,795,789,6,66.53%
1335,1036,733,723,10,70.75%
1336,1301,876,866,10,67.33%
1337,1352,945,938,7,69.90%
1338,1011,679,670,9,67.16%
1339,1087,737,730,7,67.80%
1340,968,638,627,11,65.91%
1341,951,672,664,8,70.66%
1342,1271,914,906,8,71.91%
1343,1276,882,867,15,69.12%
1344,1240,821,811,10,66.21%
1345,964,677,673,4,70.23%
1346,789,536,530,6,67.93%
1347,819,553,551,2,67.52%
1348,971,674,666,8,69.41%
1349,974,652,638,14,66.94%
1350,979,635,626,9,64.86%
1351,1088,768,759,9,70.59%
1352,895,622,608,14,69.50%
1353,1047,750,740,10,71.63%
1354,1092,770,758,12,70.51%
1355,868,594,592,2,68.43%
1356,1162,744,730,14,64.03%
1357,1278,848,838,10,66.35%
1358,1282,814,801,13,63.49%
1359,944,630,623,7,66.74%
1360,989,680,672,8,68.76%
1361,1114,797,792,5,71.54%
1362,945,695,683,12,73.54%
1363,925,639,635,4,69.08%
1364,1002,735,726,9,73.35%
1365,1014,722,719,3,71.20%
1366,1006,634,629,5,63.02%
1367,935,631,622,9,67.49%
1368,894,531,519,12,59.40%
1369,864,619,611,8,71.64%
1370,1045,767,764,3,73.40%
1371,1053,779,773,6,73.98%
1372,1088,818,813,5,75.18%
1373,1172,822,816,6,70.14%
1374,1148,780,766,14,67.94%
1375,1080,765,761,4,70.83%
1376,1134,794,791,3,70.02%
1377,1115,651,643,8,58.39%
1378,873,548,541,7,62.77%
1379,864,529,521,8,61.23%
1380,1099,676,668,8,61.51%
1381,912,597,592,5,65.46%
1382,984,680,677,3,69.11%
1383,957,662,656,6,69.17%
1384,1003,675,669,6,67.30%
1385,1241,874,866,8,70.43%
1386,1246,890,885,5,71.43%
