Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,210341,143527,142410,1117,68.24%
1581,1229,802,798,4,65.26%
1582,1217,811,807,4,66.64%
1583,1178,810,802,8,68.76%
1584,1211,780,772,8,64.41%
1585,1205,854,848,6,70.87%
1586,1434,927,919,8,64.64%
1587,1428,921,919,2,64.50%
1588,1423,950,943,7,66.76%
1589,1376,911,903,8,66.21%
1590,1353,909,904,5,67.18%
1591,1268,886,876,10,69.87%
1592,1360,948,940,8,69.71%
1593,1242,852,849,3,68.60%
1594,1255,869,860,9,69.24%
1595,1317,908,897,11,68.94%
1596,1256,887,880,7,70.62%
1597,1069,712,705,7,66.60%
1598,1171,826,817,9,70.54%
1599,1192,842,834,8,70.64%
1600,1058,773,767,6,73.06%
1601,1078,733,727,6,68.00%
1602,1054,718,713,5,68.12%
1603,1127,771,769,2,68.41%
1604,1159,816,811,5,70.41%
1605,1052,752,749,3,71.48%
1606,1191,824,819,5,69.19%
1607,1066,751,745,6,70.45%
1608,1060,809,805,4,76.32%
1609,1160,796,791,5,68.62%
1610,1205,868,863,5,72.03%
1611,1201,848,843,5,70.61%
1612,1185,820,816,4,69.20%
1613,1140,806,796,10,70.70%
1614,1124,798,793,5,71.00%
1615,1086,819,814,5,75.41%
1616,1145,837,829,8,73.10%
1617,1071,703,697,6,65.64%
1618,1038,720,717,3,69.36%
1619,1065,783,781,2,73.52%
1620,1059,712,707,5,67.23%
1621,1373,940,931,9,68.46%
1622,1346,944,934,10,70.13%
1623,1216,797,792,5,65.54%
1624,1251,842,837,5,67.31%
1625,1327,933,931,2,70.31%
1626,1350,890,881,9,65.93%
1627,1330,919,909,10,69.10%
1628,1239,900,898,2,72.64%
1629,1322,901,896,5,68.15%
1630,1414,985,978,7,69.66%
1631,1363,937,936,1,68.75%
1632,1140,769,758,11,67.46%
1633,1038,619,613,6,59.63%
1634,994,682,679,3,68.61%
1635,1278,900,899,1,70.42%
1636,1161,811,808,3,69.85%
1637,1156,776,770,6,67.13%
1638,1229,828,819,9,67.37%
1639,1181,791,785,6,66.98%
1640,1423,938,931,7,65.92%
1641,1317,919,912,7,69.78%
1642,1236,808,798,10,65.37%
1643,990,681,676,5,68.79%
1644,1058,749,748,1,70.79%
1645,1031,695,684,11,67.41%
1646,993,663,660,3,66.77%
1647,1182,809,806,3,68.44%
1648,1328,939,934,5,70.71%
1649,1410,960,953,7,68.09%
1650,1376,1026,1011,15,74.56%
1651,1268,923,912,11,72.79%
1652,1044,755,751,4,72.32%
1653,1068,728,723,5,68.16%
1654,1035,718,712,6,69.37%
1655,1260,891,886,5,70.71%
1656,1149,804,802,2,69.97%
1657,1140,825,818,7,72.37%
1658,1163,810,802,8,69.65%
1659,1089,752,740,12,69.05%
1660,1076,735,731,4,68.31%
1661,1095,749,745,4,68.40%
1662,1044,740,737,3,70.88%
1663,1134,832,823,9,73.37%
1664,1230,854,842,12,69.43%
1665,1306,867,859,8,66.39%
1666,1336,862,852,10,64.52%
