Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,170907,115215,114325,890,67.41%
0730,916,662,656,6,72.27%
0731,1987,696,691,5,35.03%
0732,891,696,691,5,78.11%
0733,839,609,601,8,72.59%
0734,1161,841,833,8,72.44%
0735,1160,872,859,13,75.17%
0736,1128,786,782,4,69.68%
0737,834,559,552,7,67.03%
0738,1186,789,783,6,66.53%
0739,747,496,489,7,66.40%
0740,990,639,635,4,64.55%
0741,873,555,552,3,63.57%
0742,888,621,614,7,69.93%
0743,785,522,516,6,66.50%
0744,855,586,585,1,68.54%
0745,1060,710,708,2,66.98%
0746,1065,699,693,6,65.63%
0747,1254,891,882,9,71.05%
0748,1027,659,654,5,64.17%
0749,929,629,621,8,67.71%
0750,1131,745,739,6,65.87%
0751,1044,674,674,0,64.56%
0752,969,648,643,5,66.87%
0753,1045,708,704,4,67.75%
0754,943,627,624,3,66.49%
0755,957,673,664,9,70.32%
0756,1033,732,726,6,70.86%
0757,966,688,682,6,71.22%
0758,905,603,599,4,66.63%
0759,1247,868,862,6,69.61%
0760,1158,786,779,7,67.88%
0761,985,693,689,4,70.36%
0762,915,656,652,4,71.69%
0763,1073,735,730,5,68.50%
0764,1245,770,766,4,61.85%
0765,1277,804,797,7,62.96%
0766,1067,741,733,8,69.45%
0767,864,577,571,6,66.78%
0768,967,678,671,7,70.11%
0769,1017,806,800,6,79.25%
0770,998,726,718,8,72.75%
0771,1002,715,709,6,71.36%
0772,1014,699,687,12,68.93%
0773,960,624,620,4,65.00%
0774,951,648,641,7,68.14%
0775,1003,688,683,5,68.59%
0776,893,633,624,9,70.88%
0777,1037,740,736,4,71.36%
0778,871,591,586,5,67.85%
0779,1086,768,761,7,70.72%
0780,1048,630,626,4,60.11%
0781,960,646,642,4,67.29%
0782,1176,781,774,7,66.41%
0783,1187,842,829,13,70.94%
0784,1093,714,706,8,65.32%
0785,1207,841,833,8,69.68%
0786,1067,744,737,7,69.73%
0787,1093,791,783,8,72.37%
0788,1136,834,829,5,73.42%
0789,1177,799,795,4,67.88%
0790,922,615,610,5,66.70%
0791,1118,769,762,7,68.78%
0792,1088,748,746,2,68.75%
0793,1142,727,723,4,63.66%
0794,923,634,627,7,68.69%
0795,1109,779,771,8,70.24%
0796,1006,660,654,6,65.61%
0797,965,636,632,4,65.91%
0798,1094,695,691,4,63.53%
0799,1241,852,842,10,68.65%
0800,1309,907,897,10,69.29%
0801,949,638,636,2,67.23%
0802,1081,753,749,4,69.66%
0803,907,584,583,1,64.39%
0804,930,641,638,3,68.92%
0805,926,670,669,1,72.35%
0806,976,615,610,5,63.01%
0807,903,623,616,7,68.99%
0808,913,559,556,3,61.23%
0809,1066,674,669,5,63.23%
0810,1036,712,707,5,68.73%
0811,1071,718,711,7,67.04%
0812,1053,732,727,5,69.52%
0813,1020,663,662,1,65.00%
0814,959,631,626,5,65.80%
0815,1010,664,661,3,65.74%
0816,958,647,643,4,67.54%
0817,1070,702,698,4,65.61%
0818,937,670,665,5,71.50%
0819,797,544,541,3,68.26%
0820,812,572,570,2,70.44%
0821,1012,700,696,4,69.17%
0822,988,630,626,4,63.77%
0823,1097,743,741,2,67.73%
0824,961,610,609,1,63.48%
0825,998,670,663,7,67.13%
0826,1110,785,779,6,70.72%
0827,1189,802,797,5,67.45%
0828,1028,716,708,8,69.65%
0829,1087,771,766,5,70.93%
0830,923,631,628,3,68.36%
0831,847,585,579,6,69.07%
0832,984,703,699,4,71.44%
0833,1088,711,703,8,65.35%
0834,1076,721,717,4,67.01%
0835,1127,755,751,4,66.99%
0836,428,305,303,2,71.26%
0837,1081,763,756,7,70.58%
0838,944,672,668,4,71.19%
0839,953,632,629,3,66.32%
0840,1014,682,675,7,67.26%
0841,959,627,623,4,65.38%
0842,963,637,635,2,66.15%
0843,1135,722,713,9,63.61%
0844,987,697,695,2,70.62%
0845,1153,799,794,5,69.30%
0846,992,701,697,4,70.67%
0847,989,646,641,5,65.32%
0848,1002,668,663,5,66.67%
0849,973,684,682,2,70.30%
0850,1046,726,722,4,69.41%
0851,924,635,628,7,68.72%
0852,963,646,642,4,67.08%
0853,1048,655,651,4,62.50%
0854,1090,716,712,4,65.69%
0855,1030,681,677,4,66.12%
0856,1002,636,631,5,63.47%
0857,1049,742,738,4,70.73%
0858,1075,750,747,3,69.77%
0859,1125,707,705,2,62.84%
0860,986,615,607,8,62.37%
0861,1202,803,799,4,66.81%
0862,824,489,488,1,59.34%
0863,999,673,668,5,67.37%
0864,1166,770,764,6,66.04%
0865,1079,666,661,5,61.72%
0866,1177,797,788,9,67.71%
0867,971,588,582,6,60.56%
0868,960,638,633,5,66.46%
0869,918,612,600,12,66.67%
0870,980,644,642,2,65.71%
0871,800,552,548,4,69.00%
0872,957,604,602,2,63.11%
0873,1062,696,688,8,65.54%
0874,1073,702,694,8,65.42%
0875,1164,822,821,1,70.62%
0876,1085,763,757,6,70.32%
0877,1281,839,834,5,65.50%
0878,1058,768,760,8,72.59%
0879,1179,777,767,10,65.90%
0880,792,572,566,6,72.22%
0881,885,637,628,9,71.98%
0882,867,574,570,4,66.21%
0883,1136,687,684,3,60.48%
0884,1053,742,738,4,70.47%
0885,1053,745,740,5,70.75%
0886,1157,818,808,10,70.70%
0887,1129,744,739,5,65.90%
0888,975,654,652,2,67.08%
0889,1071,706,698,8,65.92%
0890,1259,868,861,7,68.94%
0891,1030,740,736,4,71.84%
0892,911,620,614,6,68.06%
0893,1073,753,747,6,70.18%
0894,921,620,615,5,67.32%
0895,922,601,592,9,65.18%
0896,679,437,432,5,64.36%
