Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,176271,118354,117402,952,67.14%
0897,1463,1002,991,11,68.49%
0898,1197,862,858,4,72.01%
0899,1512,949,942,7,62.76%
0900,1434,875,870,5,61.02%
0901,1339,841,828,13,62.81%
0902,1420,909,900,9,64.01%
0903,1527,1016,1006,10,66.54%
0904,1182,797,791,6,67.43%
0905,1030,733,729,4,71.17%
0906,1326,903,891,12,68.10%
0907,999,637,628,9,63.76%
0908,1179,768,761,7,65.14%
0909,1023,670,665,5,65.49%
0910,1123,736,730,6,65.54%
0911,1070,651,644,7,60.84%
0912,1140,655,644,11,57.46%
0913,1268,835,828,7,65.85%
0914,1152,685,677,8,59.46%
0915,1101,707,696,11,64.21%
0916,1171,684,674,10,58.41%
0917,1010,680,671,9,67.33%
0918,1110,756,754,2,68.11%
0919,1179,768,763,5,65.14%
0920,1102,705,702,3,63.97%
0921,1153,753,749,4,65.31%
0922,1090,712,710,2,65.32%
0923,1090,732,723,9,67.16%
0924,1040,633,624,9,60.87%
0925,1056,704,696,8,66.67%
0926,1192,766,761,5,64.26%
0927,995,664,657,7,66.73%
0928,873,514,509,5,58.88%
0929,1163,679,676,3,58.38%
0930,980,627,621,6,63.98%
0931,1144,737,733,4,64.42%
0932,1167,742,735,7,63.58%
0933,1076,687,685,2,63.85%
0934,1197,815,811,4,68.09%
0935,1088,679,676,3,62.41%
0936,1380,923,915,8,66.88%
0937,1398,1015,1007,8,72.60%
0938,1215,872,866,6,71.77%
0939,893,635,633,2,71.11%
0940,977,683,676,7,69.91%
0941,1008,771,765,6,76.49%
0942,1119,792,790,2,70.78%
0943,1092,790,782,8,72.34%
0944,1119,807,802,5,72.12%
0945,1230,892,889,3,72.52%
0946,976,679,675,4,69.57%
0947,1295,893,885,8,68.96%
0948,1286,904,896,8,70.30%
0949,1267,875,873,2,69.06%
0950,1224,800,796,4,65.36%
0951,1120,726,723,3,64.82%
0952,1210,842,833,9,69.59%
0953,1027,764,756,8,74.39%
0954,1261,907,897,10,71.93%
0955,1196,789,784,5,65.97%
0956,1277,900,896,4,70.48%
0957,1172,844,841,3,72.01%
0958,953,645,642,3,67.68%
0959,1218,841,837,4,69.05%
0960,1156,715,710,5,61.85%
0961,1381,914,909,5,66.18%
0962,1312,913,908,5,69.59%
0963,1096,798,792,6,72.81%
0964,918,640,633,7,69.72%
0965,1434,914,905,9,63.74%
0966,1352,918,911,7,67.90%
0967,1327,889,888,1,66.99%
0968,1422,975,967,8,68.57%
0969,1279,862,852,10,67.40%
0970,1385,927,910,17,66.93%
0971,1188,791,783,8,66.58%
0972,1341,915,901,14,68.23%
0973,1263,865,859,6,68.49%
0974,1180,806,796,10,68.31%
0975,1100,807,799,8,73.36%
0976,1274,868,863,5,68.13%
0977,1416,957,948,9,67.58%
0978,1426,938,932,6,65.78%
0979,1294,887,879,8,68.55%
0980,1381,881,871,10,63.79%
0981,863,558,555,3,64.66%
0982,936,684,679,5,73.08%
0983,1058,738,733,5,69.75%
0984,1229,876,868,8,71.28%
0985,2996,1060,1052,8,35.38%
0986,1239,864,857,7,69.73%
0987,1494,1018,1007,11,68.14%
0988,1192,828,821,7,69.46%
0989,1220,834,827,7,68.36%
0990,1273,862,853,9,67.71%
0991,1350,958,948,10,70.96%
0992,1053,658,653,5,62.49%
0993,1158,788,783,5,68.05%
0994,1232,828,817,11,67.21%
0995,1152,797,788,9,69.18%
0996,1253,829,825,4,66.16%
0997,1216,853,843,10,70.15%
0998,1222,880,873,7,72.01%
0999,1514,1091,1078,13,72.06%
1000,1312,889,884,5,67.76%
1001,1282,890,883,7,69.42%
1002,1356,909,903,6,67.04%
1003,1238,853,849,4,68.90%
1004,1208,832,823,9,68.87%
1005,1181,788,782,6,66.72%
1006,1148,826,818,8,71.95%
1007,1159,810,805,5,69.89%
1008,1087,738,736,2,67.89%
1009,1110,774,763,11,69.73%
1010,1100,768,760,8,69.82%
1011,1079,752,745,7,69.69%
1012,1034,714,709,5,69.05%
1013,977,683,678,5,69.91%
1014,1054,711,710,1,67.46%
1015,1038,729,727,2,70.23%
1016,1106,750,749,1,67.81%
1017,1115,742,739,3,66.55%
1018,1104,711,707,4,64.40%
1019,1071,724,720,4,67.60%
1020,941,681,674,7,72.37%
1021,947,677,673,4,71.49%
1022,986,677,673,4,68.66%
1023,1249,806,802,4,64.53%
1024,1147,772,766,6,67.31%
1025,1054,690,681,9,65.46%
1026,1142,744,737,7,65.15%
1027,960,678,671,7,70.63%
1028,1005,731,723,8,72.74%
1029,960,700,696,4,72.92%
1030,1101,807,802,5,73.30%
1031,1206,810,807,3,67.16%
1032,1125,761,757,4,67.64%
1033,1232,877,869,8,71.19%
1034,847,577,573,4,68.12%
1035,869,570,565,5,65.59%
1036,899,632,623,9,70.30%
1037,1266,887,881,6,70.06%
1038,1133,783,778,5,69.11%
1039,1250,869,861,8,69.52%
1040,1216,824,818,6,67.76%
1041,1197,788,784,4,65.83%
1042,1266,872,867,5,68.88%
1043,1269,865,859,6,68.16%
1044,1261,861,851,10,68.28%
1045,1135,781,777,4,68.81%
