Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,115582,77829,77230,599,67.34%
1134,906,598,590,8,66.00%
1135,1077,686,680,6,63.70%
1136,968,632,621,11,65.29%
1137,979,631,628,3,64.45%
1138,1010,699,692,7,69.21%
1139,1075,766,760,6,71.26%
1140,927,655,646,9,70.66%
1141,989,667,664,3,67.44%
1142,886,570,561,9,64.33%
1143,919,668,660,8,72.69%
1144,920,624,620,4,67.83%
1145,852,576,572,4,67.61%
1146,1009,643,633,10,63.73%
1147,1157,713,698,15,61.62%
1148,872,553,548,5,63.42%
1149,1052,676,672,4,64.26%
1150,1094,723,713,10,66.09%
1151,1129,752,749,3,66.61%
1152,1113,744,739,5,66.85%
1153,1082,710,701,9,65.62%
1154,807,555,554,1,68.77%
1155,840,569,568,1,67.74%
1156,773,543,533,10,70.25%
1157,1011,722,718,4,71.41%
1158,983,671,663,8,68.26%
1159,903,623,618,5,68.99%
1160,756,539,535,4,71.30%
1161,782,548,544,4,70.08%
1162,994,672,669,3,67.61%
1163,1000,689,684,5,68.90%
1164,1070,761,757,4,71.12%
1165,1185,830,827,3,70.04%
1166,981,672,668,4,68.50%
1167,1094,746,741,5,68.19%
1168,964,657,651,6,68.15%
1169,1105,771,766,5,69.77%
1170,948,613,608,5,64.66%
1171,1123,738,730,8,65.72%
1172,809,528,524,4,65.27%
1173,979,686,683,3,70.07%
1174,1069,733,729,4,68.57%
1175,1075,706,704,2,65.67%
1176,1063,720,716,4,67.73%
1177,1079,724,719,5,67.10%
1178,977,719,717,2,73.59%
1179,1018,682,676,6,66.99%
1180,1171,809,803,6,69.09%
1181,862,547,538,9,63.46%
1182,1004,672,664,8,66.93%
1183,1115,704,702,2,63.14%
1184,808,488,484,4,60.40%
1185,794,508,500,8,63.98%
1186,870,523,522,1,60.11%
1187,864,603,599,4,69.79%
1188,790,515,511,4,65.19%
1189,808,560,556,4,69.31%
1190,1095,734,727,7,67.03%
1191,1732,610,606,4,35.22%
1192,914,619,614,5,67.72%
1193,890,603,601,2,67.75%
1194,798,550,546,4,68.92%
1195,944,644,635,9,68.22%
1196,881,625,620,5,70.94%
1197,771,510,505,5,66.15%
1198,953,650,641,9,68.21%
1199,916,621,618,3,67.79%
1200,959,632,629,3,65.90%
1201,1103,751,749,2,68.09%
1202,1077,744,741,3,69.08%
1203,871,620,619,1,71.18%
1204,1080,774,768,6,71.67%
1205,1281,859,856,3,67.06%
1206,1141,790,786,4,69.24%
1207,1272,856,853,3,67.30%
1208,966,697,691,6,72.15%
1209,1129,795,792,3,70.42%
1210,998,690,685,5,69.14%
1211,1077,693,689,4,64.35%
1212,1090,758,753,5,69.54%
1213,1012,734,729,5,72.53%
1214,1101,743,739,4,67.48%
1215,1213,802,797,5,66.12%
1216,782,532,526,6,68.03%
1217,829,542,537,5,65.38%
1218,773,503,497,6,65.07%
1219,962,653,648,5,67.88%
1220,967,550,543,7,56.88%
1221,1153,808,802,6,70.08%
1222,954,675,671,4,70.75%
1223,974,655,650,5,67.25%
1224,915,590,583,7,64.48%
1225,1088,706,701,5,64.89%
1226,829,586,584,2,70.69%
1227,927,668,657,11,72.06%
1228,882,577,577,0,65.42%
1229,924,657,653,4,71.10%
1230,825,550,547,3,66.67%
1231,1010,694,689,5,68.71%
1232,1076,781,777,4,72.58%
1233,840,570,567,3,67.86%
1234,952,642,636,6,67.44%
1235,939,648,639,9,69.01%
1236,1143,811,801,10,70.95%
1237,1215,837,832,5,68.89%
1238,1060,741,738,3,69.91%
1239,1147,785,781,4,68.44%
1240,861,574,569,5,66.67%
1241,889,610,607,3,68.62%
1242,986,701,692,9,71.10%
1243,1181,792,785,7,67.06%
1244,1221,852,845,7,69.78%
1245,956,657,657,0,68.72%
1246,1126,780,775,5,69.27%
1247,1226,839,832,7,68.43%
1248,1058,727,724,3,68.71%
1249,1158,800,791,9,69.08%
