Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,168451,99935,98551,1384,59.33%
0359,1219,693,685,8,56.85%
0360,1338,740,732,8,55.31%
0361,1715,522,507,15,30.44%
0362,1889,1035,1022,13,54.79%
0363,2067,1014,1008,6,49.06%
0364,1494,759,753,6,50.80%
0365,1425,792,787,5,55.58%
0366,1616,886,874,12,54.83%
0367,1223,696,685,11,56.91%
0368,1435,764,758,6,53.24%
0369,1355,779,771,8,57.49%
0370,1364,750,739,11,54.99%
0371,1449,798,790,8,55.07%
0372,994,657,637,20,66.10%
0373,1597,835,829,6,52.29%
0374,1347,674,670,4,50.04%
0375,1039,496,489,7,47.74%
0376,1539,950,938,12,61.73%
0377,1195,809,798,11,67.70%
0378,1336,878,863,15,65.72%
0379,1303,881,865,16,67.61%
0380,1362,835,822,13,61.31%
0381,1511,989,979,10,65.45%
0382,1500,1013,997,16,67.53%
0383,1051,620,613,7,58.99%
0384,1203,637,626,11,52.95%
0385,1144,679,662,17,59.35%
0386,1502,1024,1000,24,68.18%
0387,1522,952,933,19,62.55%
0388,1247,833,823,10,66.80%
0389,1348,891,882,9,66.10%
0390,1611,955,941,14,59.28%
0391,1507,936,927,9,62.11%
0392,1320,878,859,19,66.52%
0393,1103,717,709,8,65.00%
0394,982,598,593,5,60.90%
0395,974,646,642,4,66.32%
0396,1105,708,694,14,64.07%
0397,1175,739,733,6,62.89%
0398,1251,756,741,15,60.43%
0399,1164,667,660,7,57.30%
0400,986,572,560,12,58.01%
0401,1079,701,681,20,64.97%
0402,960,629,617,12,65.52%
0403,1800,944,927,17,52.44%
0404,1403,885,873,12,63.08%
0405,1471,794,784,10,53.98%
0406,1291,772,760,12,59.80%
0407,1136,644,635,9,56.69%
0408,1284,711,693,18,55.37%
0409,1353,735,725,10,54.32%
0410,1312,803,796,7,61.20%
0411,1114,588,574,14,52.78%
0412,1257,715,709,6,56.88%
0413,1516,975,966,9,64.31%
0414,1490,785,778,7,52.68%
0415,1583,889,877,12,56.16%
0416,1401,828,815,13,59.10%
0417,1361,786,778,8,57.75%
0418,1330,747,741,6,56.17%
0419,1187,580,575,5,48.86%
0420,1020,698,688,10,68.43%
0421,951,576,567,9,60.57%
0422,1174,718,708,10,61.16%
0423,1549,838,831,7,54.10%
0424,1282,713,704,9,55.62%
0425,1147,593,585,8,51.70%
0426,1272,782,778,4,61.48%
0427,1047,506,498,8,48.33%
0428,1313,801,788,13,61.01%
0429,1023,661,649,12,64.61%
0430,1054,656,649,7,62.24%
0431,1482,941,928,13,63.50%
0432,1291,754,749,5,58.40%
0433,1150,786,773,13,68.35%
0434,1238,723,716,7,58.40%
0435,1245,766,757,9,61.53%
0436,1189,723,711,12,60.81%
0437,1141,687,680,7,60.21%
0438,1284,755,747,8,58.80%
0439,1102,748,736,12,67.88%
0440,1341,858,843,15,63.98%
0441,1553,826,820,6,53.19%
0442,1294,807,793,14,62.36%
0443,1491,808,800,8,54.19%
0444,1498,880,864,16,58.74%
0445,1334,788,774,14,59.07%
0446,1307,869,854,15,66.49%
0447,1404,873,863,10,62.18%
0448,1402,795,777,18,56.70%
0449,601,323,306,17,53.74%
0450,1386,846,834,12,61.04%
0451,1413,811,794,17,57.40%
0452,1375,845,830,15,61.45%
0453,1315,728,718,10,55.36%
0454,1351,750,735,15,55.51%
0455,1452,924,912,12,63.64%
0456,1564,1054,1046,8,67.39%
0457,1598,1105,1083,22,69.15%
0458,1166,628,618,10,53.86%
0459,1205,679,671,8,56.35%
0460,1221,667,659,8,54.63%
0461,1706,991,980,11,58.09%
0462,1417,837,831,6,59.07%
0463,1377,847,832,15,61.51%
0464,1350,853,847,6,63.19%
0465,1608,940,931,9,58.46%
0466,1774,1130,1118,12,63.70%
0467,1236,780,773,7,63.11%
0468,1390,814,802,12,58.56%
0469,1360,700,690,10,51.47%
0470,1371,782,773,9,57.04%
0471,1243,839,833,6,67.50%
0472,1263,808,801,7,63.97%
0473,1460,905,891,14,61.99%
0474,1073,706,697,9,65.80%
0475,1553,1060,1043,17,68.25%
0476,1480,1008,995,13,68.11%
0477,1247,771,763,8,61.83%
0478,1358,832,816,16,61.27%
0479,1352,900,890,10,66.57%
0480,935,589,582,7,62.99%
0481,886,518,502,16,58.47%
0482,1045,628,613,15,60.10%
0483,1103,611,604,7,55.39%
0484,1350,802,796,6,59.41%
0485,1193,683,675,8,57.25%
0486,1261,748,737,11,59.32%
