Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,77228,45612,44988,624,59.06%
0636,1372,912,898,14,66.47%
0637,925,615,608,7,66.49%
0638,1486,851,843,8,57.27%
0639,1372,766,757,9,55.83%
0640,1429,772,761,11,54.02%
0641,1093,590,589,1,53.98%
0642,1228,704,696,8,57.33%
0643,1195,677,667,10,56.65%
0644,1137,510,506,4,44.85%
0645,1199,684,675,9,57.05%
0646,1368,696,689,7,50.88%
0647,1375,762,756,6,55.42%
0648,1494,777,765,12,52.01%
0649,1200,708,700,8,59.00%
0650,903,547,532,15,60.58%
0651,1246,774,762,12,62.12%
0652,1064,753,745,8,70.77%
0653,603,404,392,12,67.00%
0654,1030,697,685,12,67.67%
0655,1199,817,803,14,68.14%
0656,721,472,463,9,65.46%
0657,1230,755,745,10,61.38%
0658,902,606,585,21,67.18%
0659,840,506,495,11,60.24%
0660,772,619,608,11,80.18%
0661,799,618,608,10,77.35%
0662,663,489,475,14,73.76%
0663,1329,789,778,11,59.37%
0664,1247,670,660,10,53.73%
0665,1511,798,794,4,52.81%
0666,1262,709,705,4,56.18%
0667,1717,927,921,6,53.99%
0668,920,511,506,5,55.54%
0669,1022,606,600,6,59.30%
0670,1249,694,690,4,55.56%
0671,1157,763,752,11,65.95%
0672,1215,691,686,5,56.87%
0673,1402,732,721,11,52.21%
0674,1302,650,640,10,49.92%
0675,1633,1001,985,16,61.30%
0676,1626,945,936,9,58.12%
0677,1501,885,877,8,58.96%
0678,1302,814,808,6,62.52%
0679,1078,737,728,9,68.37%
0680,1299,797,789,8,61.35%
0681,1363,776,769,7,56.93%
0682,1699,1031,1016,15,60.68%
0683,1411,831,826,5,58.89%
0684,1300,750,734,16,57.69%
0685,1020,635,626,9,62.25%
0686,1447,885,873,12,61.16%
0687,1156,739,728,11,63.93%
0688,1256,777,764,13,61.86%
0689,1272,668,662,6,52.52%
0690,1309,807,791,16,61.65%
0691,1208,629,614,15,52.07%
0692,1128,613,605,8,54.34%
0693,1612,1022,1008,14,63.40%
0694,1410,886,863,23,62.84%
0695,1434,822,811,11,57.32%
0696,1178,630,623,7,53.48%
0697,1122,611,605,6,54.46%
0698,1286,700,686,14,54.43%
