Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,69701,39758,39160,598,57.04%
0581,1540,840,825,15,54.55%
0582,1709,742,737,5,43.42%
0583,1479,875,860,15,59.16%
0584,1459,861,846,15,59.01%
0585,1356,763,750,13,56.27%
0586,1403,735,727,8,52.39%
0587,1368,724,708,16,52.92%
0588,1570,804,797,7,51.21%
0589,1498,866,857,9,57.81%
0590,1511,752,739,13,49.77%
0591,1529,775,762,13,50.69%
0592,1664,821,807,14,49.34%
0593,1581,907,894,13,57.37%
0594,1419,871,861,10,61.38%
0595,1460,886,877,9,60.68%
0596,1473,983,971,12,66.73%
0597,1320,823,810,13,62.35%
0598,1191,665,663,2,55.84%
0599,1341,759,753,6,56.60%
0600,1172,691,688,3,58.96%
0601,1130,614,611,3,54.34%
0602,1019,594,583,11,58.29%
0603,1141,682,673,9,59.77%
0604,1293,686,676,10,53.05%
0605,1342,793,780,13,59.09%
0606,1304,692,688,4,53.07%
0607,1087,648,637,11,59.61%
0608,1291,792,778,14,61.35%
0609,1126,626,616,10,55.60%
0610,1252,842,826,16,67.25%
0611,839,637,627,10,75.92%
0612,1369,837,819,18,61.14%
0613,1475,1041,1031,10,70.58%
0614,1358,766,760,6,56.41%
0615,1456,786,772,14,53.98%
0616,1283,672,661,11,52.38%
0617,1237,565,562,3,45.68%
0618,1206,616,613,3,51.08%
0619,737,523,506,17,70.96%
0620,581,448,441,7,77.11%
0621,1090,820,803,17,75.23%
0622,992,537,523,14,54.13%
0623,577,339,331,8,58.75%
0624,359,282,270,12,78.55%
0625,671,543,533,10,80.92%
0626,949,595,577,18,62.70%
0627,1079,727,713,14,67.38%
0628,1156,713,701,12,61.68%
0629,1056,663,646,17,62.78%
0630,1488,860,841,19,57.80%
0631,1476,719,711,8,48.71%
0632,1562,746,735,11,47.76%
0633,1585,755,742,13,47.63%
0634,1541,765,759,6,49.64%
0635,1551,691,683,8,44.55%
