Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,58603,36554,35949,605,62.38%
1315,1328,890,876,14,67.02%
1316,1388,735,721,14,52.95%
1317,828,591,582,9,71.38%
1318,1233,800,784,16,64.88%
1319,895,652,637,15,72.85%
1320,1087,750,735,15,69.00%
1321,1275,819,811,8,64.24%
1322,850,549,547,2,64.59%
1323,931,754,737,17,80.99%
1324,825,599,594,5,72.61%
1325,768,472,464,8,61.46%
1326,759,476,469,7,62.71%
1327,1068,610,598,12,57.12%
1328,1261,867,847,20,68.75%
1329,1343,790,779,11,58.82%
1330,1314,860,854,6,65.45%
1331,1284,857,844,13,66.74%
1332,1498,943,930,13,62.95%
1333,1555,921,911,10,59.23%
1334,1554,1031,1016,15,66.34%
1335,1111,720,711,9,64.81%
1336,1066,700,691,9,65.67%
1337,1174,773,769,4,65.84%
1338,1267,804,790,14,63.46%
1339,1234,770,755,15,62.40%
1340,1419,879,866,13,61.95%
1341,1292,848,835,13,65.63%
1342,1054,722,708,14,68.50%
1343,1398,822,810,12,58.80%
1344,1455,999,980,19,68.66%
1345,1446,898,885,13,62.10%
1346,1260,819,805,14,65.00%
1347,1317,926,896,30,70.31%
1348,1010,616,605,11,60.99%
1349,986,742,724,18,75.25%
1350,948,680,669,11,71.73%
1351,1565,940,928,12,60.06%
1352,1911,1001,984,17,52.38%
1353,1452,797,784,13,54.89%
1354,1483,873,862,11,58.87%
1355,1498,857,841,16,57.21%
1356,1481,792,780,12,53.48%
1357,1482,823,808,15,55.53%
1358,1708,841,825,16,49.24%
1359,1632,763,749,14,46.75%
1360,983,699,676,23,71.11%
1361,927,484,477,7,52.21%
