Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,101501,61341,60553,788,60.43%
1205,1663,924,913,11,55.56%
1206,1466,783,767,16,53.41%
1207,1450,825,813,12,56.90%
1208,1280,772,756,16,60.31%
1209,1398,852,837,15,60.94%
1210,1739,1191,1178,13,68.49%
1211,1533,1061,1046,15,69.21%
1212,1705,693,686,7,40.65%
1213,1036,669,667,2,64.58%
1214,1286,759,746,13,59.02%
1215,1290,822,815,7,63.72%
1216,1419,749,741,8,52.78%
1217,1619,806,794,12,49.78%
1218,1434,738,733,5,51.46%
1219,1496,938,932,6,62.70%
1220,1516,880,873,7,58.05%
1221,1107,757,755,2,68.38%
1222,1091,678,673,5,62.14%
1223,1173,622,613,9,53.03%
1224,1376,817,796,21,59.38%
1225,1616,937,924,13,57.98%
1226,1771,950,929,21,53.64%
1227,1401,814,802,12,58.10%
1228,1369,732,724,8,53.47%
1229,1417,752,744,8,53.07%
1230,1321,788,782,6,59.65%
1231,1584,904,892,12,57.07%
1232,1320,857,843,14,64.92%
1233,1731,1024,1006,18,59.16%
1234,1262,763,753,10,60.46%
1235,878,629,623,6,71.64%
1236,877,604,595,9,68.87%
1237,1597,980,970,10,61.37%
1238,1324,895,887,8,67.60%
1239,1081,670,664,6,61.98%
1240,1410,863,859,4,61.21%
1241,1361,859,853,6,63.12%
1242,1303,821,813,8,63.01%
1243,1312,820,815,5,62.50%
1244,1606,995,984,11,61.96%
1245,1522,1006,995,11,66.10%
1246,1314,837,828,9,63.70%
1247,1143,656,649,7,57.39%
1248,1194,678,668,10,56.78%
1249,1444,905,893,12,62.67%
1250,1524,753,747,6,49.41%
1251,1273,744,721,23,58.44%
1252,1286,734,721,13,57.08%
1253,1259,752,743,9,59.73%
1254,1190,679,673,6,57.06%
1255,1349,737,725,12,54.63%
1256,1524,842,837,5,55.25%
1257,1231,748,732,16,60.76%
1258,1016,584,572,12,57.48%
1259,1172,812,788,24,69.28%
1260,1005,628,625,3,62.49%
1261,1167,742,729,13,63.58%
1262,1423,969,953,16,68.10%
1263,1234,750,748,2,60.78%
1264,1182,777,772,5,65.74%
1265,1536,905,897,8,58.92%
1266,1448,916,903,13,63.26%
1267,1748,1084,1070,14,62.01%
1268,1755,1113,1107,6,63.42%
1269,1656,986,976,10,59.54%
1270,1599,1088,1071,17,68.04%
1271,1579,1040,1022,18,65.86%
1272,1510,960,950,10,63.58%
1273,1347,870,851,19,64.59%
1274,1320,803,791,12,60.83%
1275,1383,765,755,10,55.31%
1276,794,582,567,15,73.30%
1277,1069,727,721,6,68.01%
1278,1004,635,629,6,63.25%
1279,683,541,528,13,79.21%
