Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,130434,79486,78432,1054,60.94%
0487,1524,1022,1009,13,67.06%
0488,1338,831,816,15,62.11%
0489,1423,909,892,17,63.88%
0490,1364,902,893,9,66.13%
0491,1201,785,770,15,65.36%
0492,1756,1064,1055,9,60.59%
0493,1572,947,939,8,60.24%
0494,1456,879,871,8,60.37%
0495,1787,951,942,9,53.22%
0496,1795,1062,1053,9,59.16%
0497,1658,1008,996,12,60.80%
0498,1168,728,713,15,62.33%
0499,1085,702,695,7,64.70%
0500,1039,696,689,7,66.99%
0501,1155,703,695,8,60.87%
0502,1113,676,671,5,60.74%
0503,1167,656,645,11,56.21%
0504,1496,1026,1004,22,68.58%
0505,1456,957,943,14,65.73%
0506,1962,1111,1098,13,56.63%
0507,1630,943,938,5,57.85%
0508,1531,905,898,7,59.11%
0509,1325,952,946,6,71.85%
0510,1128,725,714,11,64.27%
0511,1346,916,900,16,68.05%
0512,1361,885,874,11,65.03%
0513,1151,685,680,5,59.51%
0514,1289,794,791,3,61.60%
0515,1241,746,738,8,60.11%
0516,1326,803,793,10,60.56%
0517,1757,946,934,12,53.84%
0518,1597,864,857,7,54.10%
0519,1554,940,925,15,60.49%
0520,1644,937,931,6,57.00%
0521,1726,958,945,13,55.50%
0522,1449,797,790,7,55.00%
0523,1507,791,781,10,52.49%
0524,1278,694,689,5,54.30%
0525,1584,840,828,12,53.03%
0526,1224,686,676,10,56.05%
0527,1101,635,630,5,57.67%
0528,1583,1137,1108,29,71.83%
0529,1183,676,673,3,57.14%
0530,1219,730,725,5,59.89%
0531,1052,575,570,5,54.66%
0532,1130,754,748,6,66.73%
0533,1260,843,832,11,66.90%
0534,1133,636,631,5,56.13%
0535,1294,809,799,10,62.52%
0536,1131,673,662,11,59.50%
0537,1376,821,818,3,59.67%
0538,1393,871,865,6,62.53%
0539,1324,855,848,7,64.58%
0540,1437,883,873,10,61.45%
0541,1644,954,951,3,58.03%
0542,1124,696,680,16,61.92%
0543,1399,689,680,9,49.25%
0544,1170,785,773,12,67.09%
0545,1156,687,672,15,59.43%
0546,1666,931,927,4,55.88%
0547,1505,800,788,12,53.16%
0548,1500,883,876,7,58.87%
0549,1662,874,869,5,52.59%
0550,1580,962,942,20,60.89%
0551,1436,858,848,10,59.75%
0552,1271,772,760,12,60.74%
0553,1114,721,712,9,64.72%
0554,1177,807,804,3,68.56%
0555,1204,743,739,4,61.71%
0556,1439,879,871,8,61.08%
0557,1245,757,743,14,60.80%
0558,1293,807,802,5,62.41%
0559,1337,825,818,7,61.71%
0560,1456,940,929,11,64.56%
0561,1634,962,955,7,58.87%
0562,1645,993,982,11,60.36%
0563,1511,822,810,12,54.40%
0564,1660,943,935,8,56.81%
0565,1620,867,858,9,53.52%
0566,1647,913,898,15,55.43%
0567,1289,548,541,7,42.51%
0568,1225,903,880,23,73.71%
0569,1795,1210,1182,28,67.41%
0570,1158,803,789,14,69.34%
0571,1182,819,806,13,69.29%
0572,1124,756,743,13,67.26%
0573,1472,1104,1067,37,75.00%
0574,1608,1130,1103,27,70.27%
0575,928,695,681,14,74.89%
0576,1271,907,879,28,71.36%
0577,1453,828,810,18,56.99%
0578,1477,944,927,17,63.91%
0579,1240,820,794,26,66.13%
0580,1338,829,809,20,61.96%
