Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,182430,110886,109611,1275,60.78%
0963,1400,798,788,10,57.00%
0964,1539,943,934,9,61.27%
0965,1404,855,842,13,60.90%
0966,1340,776,759,17,57.91%
0967,1635,916,900,16,56.02%
0968,1546,898,893,5,58.09%
0969,1329,762,755,7,57.34%
0970,1421,813,797,16,57.21%
0971,1344,716,711,5,53.27%
0972,1324,678,673,5,51.21%
0973,1378,716,712,4,51.96%
0974,1258,778,772,6,61.84%
0975,1288,708,703,5,54.97%
0976,1318,715,709,6,54.25%
0977,1371,848,839,9,61.85%
0978,1229,823,798,25,66.97%
0979,1189,751,742,9,63.16%
0980,1225,638,635,3,52.08%
0981,1335,804,799,5,60.22%
0982,1307,764,756,8,58.45%
0983,1357,869,861,8,64.04%
0984,1424,885,879,6,62.15%
0985,1253,681,676,5,54.35%
0986,1050,636,627,9,60.57%
0987,1140,764,759,5,67.02%
0988,967,574,569,5,59.36%
0989,1107,665,657,8,60.07%
0990,1283,749,746,3,58.38%
0991,1249,779,771,8,62.37%
0992,1233,718,712,6,58.23%
0993,1257,822,804,18,65.39%
0994,1235,798,792,6,64.62%
0995,1346,783,769,14,58.17%
0996,951,555,548,7,58.36%
0997,1201,677,667,10,56.37%
0998,1171,705,683,22,60.20%
0999,892,518,515,3,58.07%
1000,805,487,475,12,60.50%
1001,1688,985,971,14,58.35%
1002,1341,820,806,14,61.15%
1003,1392,815,808,7,58.55%
1004,1371,812,806,6,59.23%
1005,1450,845,840,5,58.28%
1006,1362,669,665,4,49.12%
1007,1319,753,744,9,57.09%
1008,1361,782,769,13,57.46%
1009,1329,761,754,7,57.26%
1010,1354,786,780,6,58.05%
1011,1214,804,796,8,66.23%
1012,1061,664,657,7,62.58%
1013,1519,1003,997,6,66.03%
1014,1436,916,909,7,63.79%
1015,1347,868,861,7,64.44%
1016,1200,795,789,6,66.25%
1017,1266,852,839,13,67.30%
1018,1254,806,799,7,64.27%
1019,1478,832,814,18,56.29%
1020,1346,844,826,18,62.70%
1021,1244,828,817,11,66.56%
1022,1294,772,764,8,59.66%
1023,1369,823,815,8,60.12%
1024,1322,804,797,7,60.82%
1025,1197,764,751,13,63.83%
1026,971,614,611,3,63.23%
1027,1311,931,926,5,71.01%
1028,1262,814,810,4,64.50%
1029,1305,809,800,9,61.99%
1030,1252,806,800,6,64.38%
1031,1252,740,730,10,59.11%
1032,1226,615,609,6,50.16%
1033,1273,835,830,5,65.59%
1034,1302,909,902,7,69.82%
1035,1357,897,886,11,66.10%
1036,1330,813,803,10,61.13%
1037,1404,827,822,5,58.90%
1038,1673,1070,1055,15,63.96%
1039,1523,941,926,15,61.79%
1040,1372,825,815,10,60.13%
1041,1627,1023,1015,8,62.88%
1042,1294,782,773,9,60.43%
1043,1248,804,799,5,64.42%
1044,1007,632,627,5,62.76%
1045,1301,824,815,9,63.34%
1046,1201,754,745,9,62.78%
1047,1348,851,848,3,63.13%
1048,1084,681,677,4,62.82%
1049,1106,694,687,7,62.75%
1050,1196,816,808,8,68.23%
1051,1227,798,790,8,65.04%
1052,713,451,445,6,63.25%
1053,793,515,504,11,64.94%
1054,1237,848,840,8,68.55%
1055,877,617,608,9,70.35%
1056,1488,870,866,4,58.47%
1057,1397,888,880,8,63.56%
1058,2299,668,659,9,29.06%
1059,1046,698,694,4,66.73%
1060,1567,998,986,12,63.69%
1061,1604,954,945,9,59.48%
1062,1162,700,693,7,60.24%
1063,1160,707,696,11,60.95%
1064,1359,851,845,6,62.62%
1065,1451,962,941,21,66.30%
1066,1513,1036,1027,9,68.47%
1067,947,623,616,7,65.79%
1068,1377,831,821,10,60.35%
1069,1389,794,784,10,57.16%
1070,1306,853,835,18,65.31%
1071,1443,1001,987,14,69.37%
1072,1120,787,780,7,70.27%
1073,1583,1044,1032,12,65.95%
1074,1145,752,742,10,65.68%
1075,1312,791,783,8,60.29%
1076,1215,749,736,13,61.65%
1077,1189,803,794,9,67.54%
1078,1209,777,770,7,64.27%
1079,1639,983,972,11,59.98%
1080,1337,731,722,9,54.67%
1081,1340,735,725,10,54.85%
1082,1280,772,766,6,60.31%
1083,1486,762,753,9,51.28%
1084,1320,834,823,11,63.18%
1085,1358,785,772,13,57.81%
1086,1476,877,866,11,59.42%
1087,1447,798,787,11,55.15%
1088,1319,774,768,6,58.68%
1089,1078,652,641,11,60.48%
1090,1402,915,901,14,65.26%
1091,1281,776,769,7,60.58%
1092,1501,879,868,11,58.56%
1093,1337,853,837,16,63.80%
1094,1422,886,876,10,62.31%
1095,1633,983,966,17,60.20%
1096,1569,924,908,16,58.89%
1097,1342,843,835,8,62.82%
1098,934,598,592,6,64.03%
1099,952,583,581,2,61.24%
1100,1055,633,623,10,60.00%
1101,1362,833,825,8,61.16%
1102,1592,1036,1016,20,65.08%
