Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,366627,214769,212436,2333,58.58%
0001,1494,798,790,8,53.41%
0002,1064,519,515,4,48.78%
0003,1307,709,704,5,54.25%
0004,1369,799,791,8,58.36%
0005,1465,754,749,5,51.47%
0006,1391,801,792,9,57.58%
0007,1187,774,763,11,65.21%
0008,1166,699,692,7,59.95%
0009,1748,1023,1013,10,58.52%
0010,1513,938,925,13,62.00%
0011,1476,935,928,7,63.35%
0012,1230,789,779,10,64.15%
0013,1323,846,833,13,63.95%
0014,1189,698,688,10,58.70%
0015,1166,701,695,6,60.12%
0016,1348,805,799,6,59.72%
0017,1361,806,793,13,59.22%
0018,1513,885,876,9,58.49%
0019,1595,967,961,6,60.63%
0020,1210,762,756,6,62.98%
0021,1301,739,729,10,56.80%
0022,1434,968,954,14,67.50%
0023,1341,855,853,2,63.76%
0024,1515,987,984,3,65.15%
0025,1520,957,948,9,62.96%
0026,1365,830,817,13,60.81%
0027,1580,991,980,11,62.72%
0028,1564,954,945,9,61.00%
0029,1416,885,872,13,62.50%
0030,1421,921,914,7,64.81%
0031,1275,800,786,14,62.75%
0032,1261,778,772,6,61.70%
0033,1455,842,838,4,57.87%
0034,1666,1052,1046,6,63.15%
0035,1276,755,747,8,59.17%
0036,1023,636,632,4,62.17%
0037,752,561,551,10,74.60%
0038,1440,928,920,8,64.44%
0039,1665,1021,1018,3,61.32%
0040,1626,986,974,12,60.64%
0041,1744,1052,1032,20,60.32%
0042,1477,919,910,9,62.22%
0043,1415,903,889,14,63.82%
0044,1431,897,893,4,62.68%
0045,1660,928,913,15,55.90%
0046,1346,812,805,7,60.33%
0047,1584,826,824,2,52.15%
0048,986,658,644,14,66.73%
0049,1993,1158,1147,11,58.10%
0050,939,553,547,6,58.89%
0051,979,569,559,10,58.12%
0052,1711,1089,1081,8,63.65%
0053,1283,791,777,14,61.65%
0054,1601,948,938,10,59.21%
0055,1683,1055,1046,9,62.69%
0056,1580,942,934,8,59.62%
0057,1677,1021,1011,10,60.88%
0058,1457,797,788,9,54.70%
0059,1556,902,885,17,57.97%
0060,1490,889,881,8,59.66%
0061,1499,944,936,8,62.98%
0062,1267,769,761,8,60.69%
0063,1400,801,789,12,57.21%
0064,1399,891,824,67,63.69%
0065,1417,838,831,7,59.14%
0066,1095,697,684,13,63.65%
0067,1494,871,868,3,58.30%
0068,1094,632,623,9,57.77%
0069,1500,741,735,6,49.40%
0070,944,587,584,3,62.18%
0071,1295,785,782,3,60.62%
0072,1359,746,743,3,54.89%
0073,1386,783,777,6,56.49%
0074,1423,776,768,8,54.53%
0075,1578,889,875,14,56.34%
0076,1541,939,932,7,60.93%
0077,1335,805,799,6,60.30%
0078,1441,875,867,8,60.72%
0079,1269,746,738,8,58.79%
0080,1270,796,793,3,62.68%
0081,1307,629,626,3,48.13%
0082,1233,692,686,6,56.12%
0083,1375,740,734,6,53.82%
0084,1323,910,906,4,68.78%
0085,1274,785,774,11,61.62%
0086,1234,676,669,7,54.78%
0087,1267,720,713,7,56.83%
0088,1261,736,725,11,58.37%
0089,1721,981,967,14,57.00%
0090,1148,731,716,15,63.68%
0091,944,584,577,7,61.86%
0092,1191,608,601,7,51.05%
0093,1525,914,901,13,59.93%
0094,1581,1005,995,10,63.57%
0095,1767,1001,991,10,56.65%
0096,1367,886,874,12,64.81%
0097,1132,621,614,7,54.86%
0098,1098,674,664,10,61.38%
0099,1053,626,622,4,59.45%
0100,1186,719,713,6,60.62%
0101,1225,748,743,5,61.06%
0102,1120,687,680,7,61.34%
0103,1078,664,657,7,61.60%
0104,1126,650,640,10,57.73%
0105,1139,632,624,8,55.49%
0106,1330,772,760,12,58.05%
0107,1414,811,802,9,57.36%
0108,1252,691,683,8,55.19%
0109,1295,721,711,10,55.68%
0110,1363,851,838,13,62.44%
0111,1514,831,818,13,54.89%
0112,1467,859,847,12,58.55%
0113,1273,778,770,8,61.12%
0114,1572,915,908,7,58.21%
0115,1568,858,852,6,54.72%
0116,1691,956,944,12,56.53%
0117,1576,960,948,12,60.91%
0118,1560,909,892,17,58.27%
0119,1665,934,928,6,56.10%
0120,1595,888,879,9,55.67%
0121,1515,868,858,10,57.29%
0122,3538,645,639,6,18.23%
0123,1550,867,851,16,55.94%
0124,1415,887,871,16,62.69%
0125,1521,903,892,11,59.37%
0126,1356,864,844,20,63.72%
0127,1267,811,804,7,64.01%
0128,1448,811,804,7,56.01%
0129,1367,774,768,6,56.62%
0130,1659,813,809,4,49.01%
0131,1457,852,849,3,58.48%
0132,1534,865,859,6,56.39%
0133,1511,831,823,8,55.00%
0134,1564,907,895,12,57.99%
0135,1362,853,840,13,62.63%
0136,1525,899,887,12,58.95%
0137,1501,1012,996,16,67.42%
0138,1595,964,951,13,60.44%
0139,1639,1067,1055,12,65.10%
0140,1606,891,879,12,55.48%
0141,1476,923,916,7,62.53%
0142,1700,999,987,12,58.76%
0143,1612,945,937,8,58.62%
0144,1484,856,850,6,57.68%
0145,1468,856,844,12,58.31%
0146,1414,833,825,8,58.91%
0147,1396,853,852,1,61.10%
0148,1676,1022,1010,12,60.98%
0149,1393,829,819,10,59.51%
0150,1322,817,809,8,61.80%
0151,1396,888,879,9,63.61%
0152,1401,880,869,11,62.81%
0153,952,591,582,9,62.08%
