Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,41069,27578,27116,462,67.15%
1280,1406,893,882,11,63.51%
1281,1376,807,794,13,58.65%
1282,1341,828,815,13,61.74%
1283,1248,758,747,11,60.74%
1284,1312,863,852,11,65.78%
1285,1465,1036,1014,22,70.72%
1286,1467,1024,1010,14,69.80%
1287,1289,869,856,13,67.42%
1288,1309,879,864,15,67.15%
1289,1044,641,626,15,61.40%
1290,1087,735,726,9,67.62%
1291,1421,955,941,14,67.21%
1292,1330,995,987,8,74.81%
1293,1240,749,740,9,60.40%
1294,1261,708,698,10,56.15%
1295,1215,819,812,7,67.41%
1296,966,647,634,13,66.98%
1297,1052,553,549,4,52.57%
1298,1063,671,664,7,63.12%
1299,1184,717,710,7,60.56%
1300,1107,720,707,13,65.04%
1301,1279,938,921,17,73.34%
1302,1339,911,901,10,68.04%
1303,1041,679,664,15,65.23%
1304,891,715,696,19,80.25%
1305,625,526,512,14,84.16%
1306,1036,753,734,19,72.68%
1307,1048,831,815,16,79.29%
1308,803,599,584,15,74.60%
1309,1321,975,961,14,73.81%
1310,993,740,727,13,74.52%
1311,711,557,548,9,78.34%
1312,879,636,615,21,72.35%
1313,1669,995,971,24,59.62%
1314,1251,856,839,17,68.43%
