Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,141846,81380,80389,991,57.37%
1103,1201,767,759,8,63.86%
1104,1288,855,848,7,66.38%
1105,1233,787,778,9,63.83%
1106,1303,929,917,12,71.30%
1107,1438,886,872,14,61.61%
1108,1556,921,907,14,59.19%
1109,1531,976,959,17,63.75%
1110,1533,894,885,9,58.32%
1111,1495,878,871,7,58.73%
1112,1534,897,894,3,58.47%
1113,930,481,473,8,51.72%
1114,1070,749,740,9,70.00%
1115,1680,939,926,13,55.89%
1116,1329,650,643,7,48.91%
1117,1402,726,722,4,51.78%
1118,1231,646,642,4,52.48%
1119,1441,735,727,8,51.01%
1120,1600,746,738,8,46.63%
1121,1533,802,787,15,52.32%
1122,1530,800,791,9,52.29%
1123,1390,768,764,4,55.25%
1124,1297,674,668,6,51.97%
1125,1360,699,693,6,51.40%
1126,1244,525,520,5,42.20%
1127,1183,663,655,8,56.04%
1128,1089,514,506,8,47.20%
1129,1824,786,775,11,43.09%
1130,1091,666,657,9,61.04%
1131,1013,604,595,9,59.62%
1132,1611,908,896,12,56.36%
1133,1720,823,816,7,47.85%
1134,1564,880,863,17,56.27%
1135,1423,869,859,10,61.07%
1136,1528,864,857,7,56.54%
1137,1506,760,757,3,50.46%
1138,1638,818,813,5,49.94%
1139,1557,965,954,11,61.98%
1140,1585,924,914,10,58.30%
1141,1242,560,551,9,45.09%
1142,1180,725,716,9,61.44%
1143,1773,993,981,12,56.01%
1144,1671,936,930,6,56.01%
1145,1642,981,970,11,59.74%
1146,1252,716,707,9,57.19%
1147,1365,832,824,8,60.95%
1148,1232,746,743,3,60.55%
1149,1148,738,732,6,64.29%
1150,1041,690,684,6,66.28%
1151,916,616,602,14,67.25%
1152,1002,679,673,6,67.76%
1153,1198,730,719,11,60.93%
1154,1303,853,841,12,65.46%
1155,2110,742,737,5,35.17%
1156,1402,724,713,11,51.64%
1157,1372,790,784,6,57.58%
1158,1365,737,730,7,53.99%
1159,1330,698,696,2,52.48%
1160,1502,918,906,12,61.12%
1161,1504,932,919,13,61.97%
1162,1593,1029,1015,14,64.60%
1163,1634,994,979,15,60.83%
1164,1735,988,978,10,56.95%
1165,1132,602,591,11,53.18%
1166,1282,756,746,10,58.97%
1167,1192,705,699,6,59.14%
1168,1275,798,785,13,62.59%
1169,890,589,577,12,66.18%
1170,820,530,519,11,64.63%
1171,1481,1024,1003,21,69.14%
1172,1531,956,938,18,62.44%
1173,1586,891,882,9,56.18%
1174,1219,752,735,17,61.69%
1175,1383,810,803,7,58.57%
1176,1469,938,926,12,63.85%
1177,1282,759,748,11,59.20%
1178,1530,711,702,9,46.47%
1179,1612,944,934,10,58.56%
1180,1408,780,769,11,55.40%
1181,1377,697,695,2,50.62%
1182,1426,738,724,14,51.75%
1183,1149,779,765,14,67.80%
1184,1495,930,917,13,62.21%
1185,1167,547,541,6,46.87%
1186,1276,638,632,6,50.00%
1187,1225,654,647,7,53.39%
1188,1405,801,784,17,57.01%
1189,1272,788,777,11,61.95%
1190,1490,815,797,18,54.70%
1191,1577,748,738,10,47.43%
1192,1386,764,746,18,55.12%
1193,1639,1027,1018,9,62.66%
1194,1765,924,914,10,52.35%
1195,1589,1049,1036,13,66.02%
1196,1582,1067,1057,10,67.45%
1197,1669,1042,1029,13,62.43%
1198,1668,953,945,8,57.13%
1199,1432,925,912,13,64.59%
1200,1274,794,786,8,62.32%
1201,1283,836,828,8,65.16%
1202,1193,758,750,8,63.54%
1203,1161,709,700,9,61.07%
1204,1261,731,723,8,57.97%
