Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,27061,17103,16661,442,63.20%
0861,887,608,583,25,68.55%
0862,873,608,590,18,69.64%
0863,849,576,560,16,67.84%
0864,1083,696,686,10,64.27%
0865,800,525,514,11,65.63%
0866,1054,633,617,16,60.06%
0867,1041,676,659,17,64.94%
0868,1162,728,717,11,62.65%
0869,1146,675,663,12,58.90%
0870,770,449,437,12,58.31%
0871,921,569,556,13,61.78%
0872,780,503,493,10,64.49%
0873,950,585,577,8,61.58%
0874,744,443,434,9,59.54%
0875,519,341,331,10,65.70%
0876,624,397,388,9,63.62%
0877,627,400,386,14,63.80%
0878,725,453,440,13,62.48%
0879,601,399,391,8,66.39%
0880,617,435,425,10,70.50%
0881,1122,691,673,18,61.59%
0882,1107,642,625,17,57.99%
0883,959,626,615,11,65.28%
0884,1063,663,648,15,62.37%
0885,1053,641,631,10,60.87%
0886,1260,885,853,32,70.24%
0887,1053,626,605,21,59.45%
0888,923,570,547,23,61.76%
0889,819,495,476,19,60.44%
0890,929,565,541,24,60.82%
