Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,183451,113830,111815,2015,62.05%
0001,845,571,561,10,67.57%
0002,639,349,338,11,54.62%
0003,859,566,556,10,65.89%
0004,719,430,424,6,59.81%
0005,722,432,417,15,59.83%
0006,671,426,417,9,63.49%
0007,699,429,424,5,61.37%
0008,710,394,385,9,55.49%
0009,1007,584,569,15,57.99%
0010,952,615,600,15,64.60%
0011,1131,685,671,14,60.57%
0012,1052,664,653,11,63.12%
0013,1082,679,671,8,62.75%
0014,758,449,444,5,59.23%
0015,572,354,349,5,61.89%
0016,1141,713,693,20,62.49%
0017,1382,487,477,10,35.24%
0018,1272,711,701,10,55.90%
0019,1200,710,699,11,59.17%
0020,1142,656,650,6,57.44%
0021,1250,713,708,5,57.04%
0022,747,477,469,8,63.86%
0023,789,465,453,12,58.94%
0024,1130,662,655,7,58.58%
0025,1288,721,710,11,55.98%
0026,1137,754,730,24,66.31%
0027,1201,776,764,12,64.61%
0028,1256,786,776,10,62.58%
0029,1202,730,719,11,60.73%
0030,1339,846,823,23,63.18%
0031,1024,645,637,8,62.99%
0032,1302,806,795,11,61.90%
0033,1202,711,702,9,59.15%
0034,1288,784,765,19,60.87%
0035,1251,734,719,15,58.67%
0036,985,566,561,5,57.46%
0037,1046,596,578,18,56.98%
0038,1160,695,689,6,59.91%
0039,1060,618,609,9,58.30%
0040,1061,643,634,9,60.60%
0041,982,612,605,7,62.32%
0042,908,564,558,6,62.11%
0043,661,442,435,7,66.87%
0044,756,456,451,5,60.32%
0045,929,572,564,8,61.57%
0046,805,484,477,7,60.12%
0047,867,543,534,9,62.63%
0048,997,563,558,5,56.47%
0049,963,578,571,7,60.02%
0050,840,518,513,5,61.67%
0051,910,571,562,9,62.75%
0052,712,462,449,13,64.89%
0053,817,540,530,10,66.10%
0054,1008,672,659,13,66.67%
0055,793,544,535,9,68.60%
0056,868,639,623,16,73.62%
0057,983,637,623,14,64.80%
0058,1246,818,802,16,65.65%
0059,984,610,603,7,61.99%
0060,1103,668,661,7,60.56%
0061,1223,695,683,12,56.83%
0062,1164,749,732,17,64.35%
0063,998,643,629,14,64.43%
0064,1042,647,630,17,62.09%
0065,1014,560,545,15,55.23%
0066,1093,692,682,10,63.31%
0067,965,560,549,11,58.03%
0068,1058,606,595,11,57.28%
0069,899,566,556,10,62.96%
0070,1103,560,548,12,50.77%
0071,947,629,619,10,66.42%
0072,1160,760,747,13,65.52%
0073,1049,643,634,9,61.30%
0074,1004,603,590,13,60.06%
0075,1185,731,723,8,61.69%
0076,1041,679,665,14,65.23%
0077,980,584,574,10,59.59%
0078,938,570,560,10,60.77%
0079,994,611,595,16,61.47%
0080,1129,699,693,6,61.91%
0081,918,525,516,9,57.19%
0082,967,623,607,16,64.43%
0083,981,601,586,15,61.26%
0084,1125,635,625,10,56.44%
0085,867,521,516,5,60.09%
0086,1066,708,702,6,66.42%
0087,1039,633,625,8,60.92%
0088,819,493,480,13,60.20%
0089,1024,623,609,14,60.84%
0090,1112,743,726,17,66.82%
0091,953,619,611,8,64.95%
0092,1127,655,645,10,58.12%
0093,1042,671,662,9,64.40%
0094,1182,718,707,11,60.74%
0095,1125,669,659,10,59.47%
0096,979,629,623,6,64.25%
0097,1036,676,656,20,65.25%
0098,1141,709,702,7,62.14%
0099,1216,733,728,5,60.28%
0100,612,445,435,10,72.71%
0101,815,540,533,7,66.26%
0102,672,424,421,3,63.10%
0103,626,427,416,11,68.21%
0104,694,400,395,5,57.64%
0105,782,530,519,11,67.77%
0106,977,554,552,2,56.70%
0107,861,525,516,9,60.98%
0108,1136,676,665,11,59.51%
0109,896,596,592,4,66.52%
0110,917,556,554,2,60.63%
0111,1147,658,649,9,57.37%
0112,959,573,563,10,59.75%
0113,814,508,496,12,62.41%
0114,833,536,526,10,64.35%
0115,729,445,435,10,61.04%
0116,826,507,498,9,61.38%
0117,697,478,473,5,68.58%
0118,604,408,400,8,67.55%
0119,656,428,418,10,65.24%
0120,624,384,376,8,61.54%
0121,569,322,317,5,56.59%
0122,848,553,542,11,65.21%
0123,783,487,476,11,62.20%
0124,918,578,569,9,62.96%
0125,902,557,542,15,61.75%
0126,782,483,474,9,61.76%
0127,1041,619,611,8,59.46%
0128,1077,649,641,8,60.26%
0129,986,611,604,7,61.97%
0130,997,630,620,10,63.19%
0131,859,512,504,8,59.60%
0132,915,589,574,15,64.37%
0133,894,562,550,12,62.86%
0134,889,597,583,14,67.15%
0135,931,638,628,10,68.53%
0136,975,593,587,6,60.82%
0137,1184,850,824,26,71.79%
0138,752,528,519,9,70.21%
0139,855,531,519,12,62.11%
0140,668,447,442,5,66.92%
0141,1126,727,722,5,64.56%
0142,1257,743,727,16,59.11%
0143,1149,685,671,14,59.62%
0144,1084,699,690,9,64.48%
0145,1223,681,675,6,55.68%
0146,1109,628,617,11,56.63%
0147,1165,737,720,17,63.26%
0148,803,530,521,9,66.00%
0149,809,470,462,8,58.10%
0150,904,563,558,5,62.28%
0151,914,561,548,13,61.38%
0152,900,546,526,20,60.67%
