Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,13609,9176,8715,461,67.43%
1014,1222,918,874,44,75.12%
1015,1021,704,688,16,68.95%
1016,939,646,623,23,68.80%
1017,1248,845,809,36,67.71%
1018,751,510,480,30,67.91%
1019,480,285,278,7,59.38%
1020,519,347,330,17,66.86%
1021,659,521,487,34,79.06%
1022,352,216,208,8,61.36%
1023,621,354,341,13,57.00%
1024,805,485,454,31,60.25%
1025,584,362,336,26,61.99%
1026,998,697,660,37,69.84%
1027,1136,827,776,51,72.80%
1028,836,585,547,38,69.98%
1029,626,372,357,15,59.42%
1030,812,502,467,35,61.82%
