Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,33111,22176,21648,528,66.97%
0600,1066,651,630,21,61.07%
0601,1044,699,683,16,66.95%
0602,1404,951,935,16,67.74%
0603,786,562,550,12,71.50%
0604,711,525,515,10,73.84%
0605,1222,842,826,16,68.90%
0606,659,474,467,7,71.93%
0607,890,574,567,7,64.49%
0608,1453,1060,1033,27,72.95%
0609,810,575,565,10,70.99%
0610,1179,814,789,25,69.04%
0611,694,515,501,14,74.21%
0612,886,633,615,18,71.44%
0613,842,619,605,14,73.52%
0614,802,617,589,28,76.93%
0615,1154,793,781,12,68.72%
0616,1387,842,824,18,60.71%
0617,1267,939,915,24,74.11%
0618,1130,745,728,17,65.93%
0619,890,593,574,19,66.63%
0620,1133,639,627,12,56.40%
0621,1456,933,919,14,64.08%
0622,1023,678,665,13,66.28%
0623,1057,656,644,12,62.06%
0624,987,635,624,11,64.34%
0625,1104,715,696,19,64.76%
0626,1360,832,808,24,61.18%
0627,1053,719,699,20,68.28%
0628,1110,726,698,28,65.41%
0629,1217,807,786,21,66.31%
0630,1335,813,790,23,60.90%
