Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,40941,26150,25139,1011,63.87%
0972,686,385,372,13,56.12%
0973,996,594,575,19,59.64%
0974,746,401,385,16,53.75%
0975,814,486,473,13,59.71%
0976,1224,820,794,26,66.99%
0977,987,605,585,20,61.30%
0978,1109,679,662,17,61.23%
0979,1041,604,584,20,58.02%
0980,1456,946,916,30,64.97%
0981,950,641,620,21,67.47%
0982,1002,643,624,19,64.17%
0983,935,613,588,25,65.56%
0984,623,371,351,20,59.55%
0985,909,487,474,13,53.58%
0986,1278,783,744,39,61.27%
0987,1001,615,600,15,61.44%
0988,921,567,546,21,61.56%
0989,1120,668,651,17,59.64%
0990,757,548,528,20,72.39%
0991,810,532,519,13,65.68%
0992,943,554,534,20,58.75%
0993,1044,665,655,10,63.70%
0994,1309,823,803,20,62.87%
0995,1238,682,651,31,55.09%
0996,689,493,450,43,71.55%
0997,791,502,479,23,63.46%
0998,1114,803,762,41,72.08%
0999,734,504,489,15,68.66%
1000,814,525,514,11,64.50%
1001,618,409,389,20,66.18%
1002,1215,813,765,48,66.91%
1003,1070,775,738,37,72.43%
1004,1131,662,641,21,58.53%
1005,1269,750,721,29,59.10%
1006,1005,647,616,31,64.38%
1007,1050,763,722,41,72.67%
1008,924,690,650,40,74.68%
1009,830,530,502,28,63.86%
1010,1184,774,745,29,65.37%
1011,1006,724,687,37,71.97%
1012,931,634,610,24,68.10%
1013,667,440,425,15,65.97%
