Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,12431,9006,8726,280,72.45%
0844,958,721,700,21,75.26%
0845,637,468,448,20,73.47%
0846,803,551,532,19,68.62%
0847,886,689,669,20,77.77%
0848,580,419,403,16,72.24%
0849,612,449,435,14,73.37%
0850,913,670,653,17,73.38%
0851,864,633,608,25,73.26%
0852,411,312,307,5,75.91%
0853,759,588,570,18,77.47%
0854,771,569,558,11,73.80%
0855,970,627,604,23,64.64%
0856,748,534,514,20,71.39%
0857,757,527,512,15,69.62%
0858,640,424,405,19,66.25%
0859,581,430,419,11,74.01%
0860,541,395,389,6,73.01%
