Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,27393,18141,17431,710,66.22%
1031,902,641,616,25,71.06%
1032,387,255,246,9,65.89%
1033,703,533,514,19,75.82%
1034,499,331,315,16,66.33%
1035,927,584,566,18,63.00%
1036,1184,820,794,26,69.26%
1037,817,578,565,13,70.75%
1038,666,440,425,15,66.07%
1039,610,370,356,14,60.66%
1040,738,434,418,16,58.81%
1041,599,380,366,14,63.44%
1042,768,582,559,23,75.78%
1043,945,654,626,28,69.21%
1044,537,384,374,10,71.51%
1045,523,384,366,18,73.42%
1046,1017,660,642,18,64.90%
1047,1006,658,624,34,65.41%
1048,642,464,446,18,72.27%
1049,699,404,390,14,57.80%
1050,552,383,368,15,69.38%
1051,680,444,432,12,65.29%
1052,627,389,367,22,62.04%
1053,829,455,434,21,54.89%
1054,726,478,462,16,65.84%
1055,460,332,310,22,72.17%
1056,1083,793,758,35,73.22%
1057,293,201,191,10,68.60%
1058,1046,702,664,38,67.11%
1059,915,549,537,12,60.00%
1060,727,574,539,35,78.95%
1061,997,617,574,43,61.89%
1062,528,354,344,10,67.05%
1063,728,499,480,19,68.54%
1064,822,472,458,14,57.42%
1065,1151,740,723,17,64.29%
1066,1060,603,582,21,56.89%
