Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,19366,13761,13388,373,71.06%
0226,917,639,631,8,69.68%
0227,767,545,527,18,71.06%
0228,623,455,447,8,73.03%
0229,670,506,500,6,75.52%
0230,906,651,637,14,71.85%
0231,789,540,523,17,68.44%
0232,553,456,439,17,82.46%
0233,1178,800,783,17,67.91%
0234,1192,828,811,17,69.46%
0235,1151,738,718,20,64.12%
0236,1119,802,783,19,71.67%
0237,1009,766,737,29,75.92%
0238,562,423,421,2,75.27%
0239,834,558,537,21,66.91%
0240,1095,792,769,23,72.33%
0241,621,417,404,13,67.15%
0242,812,572,558,14,70.44%
0243,798,533,518,15,66.79%
0244,916,626,610,16,68.34%
0245,1105,812,782,30,73.48%
0246,808,574,552,22,71.04%
0247,941,728,701,27,77.36%
