Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,38091,25552,24951,601,67.08%
0317,1312,898,878,20,68.45%
0318,798,559,543,16,70.05%
0319,1226,753,732,21,61.42%
0320,1130,856,831,25,75.75%
0321,689,406,402,4,58.93%
0322,766,483,465,18,63.05%
0323,1198,817,796,21,68.20%
0324,1414,840,826,14,59.41%
0325,949,609,590,19,64.17%
0326,1251,791,777,14,63.23%
0327,1298,848,835,13,65.33%
0328,1391,941,917,24,67.65%
0329,1416,960,941,19,67.80%
0330,839,571,554,17,68.06%
0331,979,640,621,19,65.37%
0332,984,674,652,22,68.50%
0333,1283,827,808,19,64.46%
0334,1038,787,763,24,75.82%
0335,1444,1066,1045,21,73.82%
0336,1214,761,750,11,62.69%
0337,1239,842,835,7,67.96%
0338,1072,666,660,6,62.13%
0339,1102,655,639,16,59.44%
0340,1382,859,843,16,62.16%
0341,1133,826,808,18,72.90%
0342,996,734,710,24,73.69%
0343,1225,923,910,13,75.35%
0344,1197,788,764,24,65.83%
0345,967,645,632,13,66.70%
0346,1247,831,813,18,66.64%
0347,858,607,600,7,70.75%
0348,945,664,633,31,70.26%
0349,1016,707,684,23,69.59%
0350,1093,718,694,24,65.69%
