Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,72790,44702,43895,807,61.41%
0389,1250,701,690,11,56.08%
0390,1155,635,627,8,54.98%
0391,1240,708,686,22,57.10%
0392,1164,646,638,8,55.50%
0393,1099,599,591,8,54.50%
0394,1028,588,575,13,57.20%
0395,989,549,544,5,55.51%
0396,972,581,567,14,59.77%
0397,1230,734,722,12,59.67%
0398,381,264,260,4,69.29%
0399,834,469,462,7,56.24%
0400,944,550,537,13,58.26%
0401,995,572,565,7,57.49%
0402,1073,669,656,13,62.35%
0403,992,597,596,1,60.18%
0404,1398,853,832,21,61.02%
0405,1329,794,784,10,59.74%
0406,785,476,470,6,60.64%
0407,832,488,478,10,58.65%
0408,1342,825,816,9,61.48%
0409,739,470,458,12,63.60%
0410,1417,890,878,12,62.81%
0411,1332,852,837,15,63.96%
0412,762,449,441,8,58.92%
0413,637,399,396,3,62.64%
0414,945,567,558,9,60.00%
0415,847,539,528,11,63.64%
0416,1107,688,683,5,62.15%
0417,1044,643,628,15,61.59%
0418,1263,848,821,27,67.14%
0419,1120,689,680,9,61.52%
0420,1254,773,761,12,61.64%
0421,1216,750,741,9,61.68%
0422,1549,929,913,16,59.97%
0423,1336,758,749,9,56.74%
0424,1322,751,742,9,56.81%
0425,973,674,664,10,69.27%
0426,877,553,539,14,63.06%
0427,972,608,598,10,62.55%
0428,982,548,536,12,55.80%
0429,1278,828,817,11,64.79%
0430,1280,775,758,17,60.55%
0431,1091,686,674,12,62.88%
0432,1065,636,625,11,59.72%
0433,1165,640,636,4,54.94%
0434,900,716,703,13,79.56%
0435,1087,723,715,8,66.51%
0436,1232,867,852,15,70.37%
0437,1036,667,653,14,64.38%
0438,1168,787,770,17,67.38%
0439,1064,623,602,21,58.55%
0440,878,560,552,8,63.78%
0441,937,558,548,10,59.55%
0442,941,611,596,15,64.93%
0443,937,532,523,9,56.78%
0444,1033,564,554,10,54.60%
0445,1166,643,631,12,55.15%
0446,1095,561,558,3,51.23%
0447,812,592,584,8,72.91%
0448,815,546,523,23,66.99%
0449,836,547,529,18,65.43%
0450,797,517,504,13,64.87%
0451,1159,804,783,21,69.37%
0452,1023,653,630,23,63.83%
0453,907,531,520,11,58.54%
0454,978,661,653,8,67.59%
0455,961,640,630,10,66.60%
0456,967,625,608,17,64.63%
0457,652,428,422,6,65.64%
0458,804,505,495,10,62.81%
