Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,37380,24075,23557,518,64.41%
0189,860,565,558,7,65.70%
0190,935,615,594,21,65.78%
0191,1286,846,833,13,65.79%
0192,763,530,519,11,69.46%
0193,902,615,608,7,68.18%
0194,1068,732,719,13,68.54%
0195,1184,839,819,20,70.86%
0196,1381,1015,995,20,73.50%
0197,1028,771,754,17,75.00%
0198,877,530,522,8,60.43%
0199,972,607,598,9,62.45%
0200,1080,703,685,18,65.09%
0201,673,436,420,16,64.78%
0202,705,561,546,15,79.57%
0203,980,637,615,22,65.00%
0204,942,586,573,13,62.21%
0205,1121,749,738,11,66.82%
0206,1093,701,693,8,64.14%
0207,1053,627,611,16,59.54%
0208,1230,778,764,14,63.25%
0209,1065,575,567,8,53.99%
0210,1288,885,861,24,68.71%
0211,1098,631,616,15,57.47%
0212,1274,742,724,18,58.24%
0213,1232,730,720,10,59.25%
0214,1179,707,700,7,59.97%
0215,1102,677,657,20,61.43%
0216,984,589,578,11,59.86%
0217,1076,632,623,9,58.74%
0218,833,599,584,15,71.91%
0219,885,597,577,20,67.46%
0220,953,631,612,19,66.21%
0221,908,548,542,6,60.35%
0222,951,627,610,17,65.93%
0223,870,465,457,8,53.45%
0224,864,565,550,15,65.39%
0225,685,432,415,17,63.07%
