Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,68446,44292,43335,957,64.71%
0248,1060,668,659,9,63.02%
0249,482,295,286,9,61.20%
0250,830,537,521,16,64.70%
0251,878,664,641,23,75.63%
0252,950,550,544,6,57.89%
0253,1085,678,667,11,62.49%
0254,808,476,464,12,58.91%
0255,699,436,427,9,62.37%
0256,1367,863,851,12,63.13%
0257,803,580,567,13,72.23%
0258,1096,681,663,18,62.14%
0259,1000,624,609,15,62.40%
0260,1073,682,669,13,63.56%
0261,1026,653,645,8,63.65%
0262,1156,715,699,16,61.85%
0263,504,327,317,10,64.88%
0264,1143,689,672,17,60.28%
0265,1115,702,692,10,62.96%
0266,1043,662,655,7,63.47%
0267,988,636,625,11,64.37%
0268,1026,698,677,21,68.03%
0269,1100,720,704,16,65.45%
0270,260,163,156,7,62.69%
0271,550,349,338,11,63.45%
0272,589,392,382,10,66.55%
0273,848,654,638,16,77.12%
0274,1015,708,696,12,69.75%
0275,1090,717,695,22,65.78%
0276,1304,817,799,18,62.65%
0277,717,459,446,13,64.02%
0278,1088,715,697,18,65.72%
0279,1186,777,746,31,65.51%
0280,1202,768,758,10,63.89%
0281,928,648,632,16,69.83%
0282,715,439,426,13,61.40%
0283,716,460,438,22,64.25%
0284,949,623,609,14,65.65%
0285,1006,622,615,7,61.83%
0286,1126,647,631,16,57.46%
0287,1184,764,749,15,64.53%
0288,956,637,627,10,66.63%
0289,998,610,595,15,61.12%
0290,956,672,661,11,70.29%
0291,951,619,609,10,65.09%
0292,827,484,473,11,58.52%
0293,626,373,361,12,59.58%
0294,1058,670,659,11,63.33%
0295,1200,741,723,18,61.75%
0296,815,507,494,13,62.21%
0297,702,450,442,8,64.10%
0298,983,687,668,19,69.89%
0299,883,655,637,18,74.18%
0300,1050,757,745,12,72.10%
0301,855,636,625,11,74.39%
0302,1157,786,765,21,67.93%
0303,1356,926,911,15,68.29%
0304,1212,820,805,15,67.66%
0305,1445,911,894,17,63.04%
0306,1151,720,708,12,62.55%
0307,1150,732,716,16,63.65%
0308,1284,819,809,10,63.79%
0309,1456,783,769,14,53.78%
0310,1435,962,947,15,67.04%
0311,1075,794,776,18,73.86%
0312,1129,715,701,14,63.33%
0313,888,547,535,12,61.60%
0314,880,556,543,13,63.18%
0315,1139,743,720,23,65.23%
0316,1124,722,712,10,64.23%
