Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,24463,16209,15505,704,66.26%
0916,1069,680,645,35,63.61%
0917,1261,721,688,33,57.18%
0918,953,661,622,39,69.36%
0919,758,491,475,16,64.78%
0920,681,413,390,23,60.65%
0921,829,519,504,15,62.61%
0922,1062,745,722,23,70.15%
0923,1099,831,798,33,75.61%
0924,1201,776,752,24,64.61%
0925,875,594,574,20,67.89%
0926,650,476,454,22,73.23%
0927,975,601,592,9,61.64%
0928,1287,769,739,30,59.75%
0929,865,530,513,17,61.27%
0930,969,633,601,32,65.33%
0931,1223,783,739,44,64.02%
0932,711,580,558,22,81.58%
0933,538,400,382,18,74.35%
0934,702,510,476,34,72.65%
0935,692,510,493,17,73.70%
0936,960,653,624,29,68.02%
0937,767,574,533,41,74.84%
0938,1038,768,727,41,73.99%
0939,685,437,426,11,63.80%
0940,719,459,437,22,63.84%
0941,1025,617,581,36,60.20%
0942,869,478,460,18,55.01%
