Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,28814,19285,18818,467,66.93%
0739,1039,684,669,15,65.83%
0740,1112,713,697,16,64.12%
0741,1235,774,756,18,62.67%
0742,1172,873,852,21,74.49%
0743,852,576,563,13,67.61%
0744,688,479,472,7,69.62%
0745,1192,836,813,23,70.13%
0746,586,426,420,6,72.70%
0747,1110,750,732,18,67.57%
0748,1162,646,638,8,55.59%
0749,863,532,518,14,61.65%
0750,759,498,487,11,65.61%
0751,643,452,450,2,70.30%
0752,1330,792,777,15,59.55%
0753,965,630,607,23,65.28%
0754,947,626,606,20,66.10%
0755,986,620,610,10,62.88%
0756,622,452,435,17,72.67%
0757,1198,849,830,19,70.87%
0758,722,508,497,11,70.36%
0759,733,492,481,11,67.12%
0760,1019,694,664,30,68.11%
0761,934,574,561,13,61.46%
0762,911,592,580,12,64.98%
0763,929,658,638,20,70.83%
0764,634,475,459,16,74.92%
0765,625,440,432,8,70.40%
0766,861,528,520,8,61.32%
0767,1394,1025,995,30,73.53%
0768,699,508,495,13,72.68%
0769,892,583,564,19,65.36%
