Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,26808,19214,18621,593,71.67%
0708,874,633,609,24,72.43%
0709,740,508,500,8,68.65%
0710,721,500,494,6,69.35%
0711,768,546,534,12,71.09%
0712,1210,892,862,30,73.72%
0713,871,674,650,24,77.38%
0714,853,642,631,11,75.26%
0715,839,563,548,15,67.10%
0716,889,571,552,19,64.23%
0717,1261,940,902,38,74.54%
0718,1041,795,765,30,76.37%
0719,641,518,505,13,80.81%
0720,1182,877,848,29,74.20%
0721,833,595,575,20,71.43%
0722,971,650,636,14,66.94%
0723,944,717,680,37,75.95%
0724,1022,760,737,23,74.36%
0725,1137,824,790,34,72.47%
0726,435,353,350,3,81.15%
0727,1066,797,770,27,74.77%
0728,811,629,611,18,77.56%
0729,710,495,470,25,69.72%
0730,661,458,430,28,69.29%
0731,809,617,605,12,76.27%
0732,778,521,506,15,66.97%
0733,703,497,482,15,70.70%
0734,689,458,452,6,66.47%
0735,758,492,478,14,64.91%
0736,675,481,464,17,71.26%
0737,639,427,419,8,66.82%
0738,1277,784,766,18,61.39%
