Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,30693,20531,20035,496,66.89%
0459,1159,771,758,13,66.52%
0460,1532,1019,1009,10,66.51%
0461,918,676,655,21,73.64%
0462,851,587,573,14,68.98%
0463,789,597,575,22,75.67%
0464,843,616,601,15,73.07%
0465,870,597,578,19,68.62%
0466,1142,717,698,19,62.78%
0467,1354,887,868,19,65.51%
0468,1234,737,717,20,59.72%
0469,1063,755,729,26,71.03%
0470,1351,881,860,21,65.21%
0471,1037,745,725,20,71.84%
0472,884,584,569,15,66.06%
0473,1219,883,863,20,72.44%
0474,844,567,548,19,67.18%
0475,831,562,547,15,67.63%
0476,1123,739,720,19,65.81%
0477,1354,908,892,16,67.06%
0478,1283,840,819,21,65.47%
0479,1163,766,743,23,65.86%
0480,1286,785,770,15,61.04%
0481,1462,928,914,14,63.47%
0482,966,631,615,16,65.32%
0483,997,676,661,15,67.80%
0484,984,623,616,7,63.31%
0485,1060,723,698,25,68.21%
0486,1094,731,714,17,66.82%
