Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,34922,23092,22420,672,66.12%
0806,733,433,426,7,59.07%
0807,966,563,545,18,58.28%
0808,939,540,525,15,57.51%
0809,961,584,573,11,60.77%
0810,1035,622,606,16,60.10%
0811,1153,701,683,18,60.80%
0812,1121,699,677,22,62.36%
0813,775,557,544,13,71.87%
0814,643,419,408,11,65.16%
0815,1018,647,630,17,63.56%
0816,847,585,571,14,69.07%
0817,706,512,502,10,72.52%
0818,875,669,644,25,76.46%
0819,957,662,639,23,69.17%
0820,1023,643,625,18,62.85%
0821,709,430,420,10,60.65%
0822,646,374,367,7,57.89%
0823,1204,876,847,29,72.76%
0824,698,429,411,18,61.46%
0825,961,555,546,9,57.75%
0826,723,471,458,13,65.15%
0827,859,531,519,12,61.82%
0828,1097,714,697,17,65.09%
0829,950,729,709,20,76.74%
0830,1214,855,827,28,70.43%
0831,876,613,592,21,69.98%
0832,1215,904,880,24,74.40%
0833,1108,714,697,17,64.44%
0834,936,709,681,28,75.75%
0835,742,525,506,19,70.75%
0836,929,626,602,24,67.38%
0837,1062,705,684,21,66.38%
0838,1034,592,576,16,57.25%
0839,955,671,649,22,70.26%
0840,1071,733,707,26,68.44%
0841,769,575,546,29,74.77%
0842,729,491,477,14,67.35%
0843,683,434,424,10,63.54%
