Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,22124,14885,14437,448,67.28%
0891,1243,814,800,14,65.49%
0892,1186,762,734,28,64.25%
0893,970,721,692,29,74.33%
0894,658,448,434,14,68.09%
0895,875,545,536,9,62.29%
0896,620,419,403,16,67.58%
0897,845,567,551,16,67.10%
0898,1262,873,850,23,69.18%
0899,1357,901,880,21,66.40%
0900,1147,753,736,17,65.65%
0901,741,532,523,9,71.79%
0902,609,398,387,11,65.35%
0903,915,592,574,18,64.70%
0904,247,180,176,4,72.87%
0905,589,402,391,11,68.25%
0906,921,581,567,14,63.08%
0907,864,665,640,25,76.97%
0908,762,444,423,21,58.27%
0909,542,316,306,10,58.30%
0910,1018,727,703,24,71.41%
0911,1286,893,865,28,69.44%
0912,1162,719,699,20,61.88%
0913,588,454,435,19,77.21%
0914,722,523,499,24,72.44%
0915,995,656,633,23,65.93%
