Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,33589,21653,20974,679,64.46%
0770,800,520,487,33,65.00%
0771,991,564,535,29,56.91%
0772,724,432,417,15,59.67%
0773,739,458,444,14,61.98%
0774,700,462,445,17,66.00%
0775,705,423,406,17,60.00%
0776,679,422,412,10,62.15%
0777,1188,820,792,28,69.02%
0778,1017,639,623,16,62.83%
0779,1308,869,848,21,66.44%
0780,787,506,490,16,64.29%
0781,902,579,564,15,64.19%
0782,551,360,354,6,65.34%
0783,1041,637,626,11,61.19%
0784,1090,707,697,10,64.86%
0785,1068,704,684,20,65.92%
0786,1240,781,765,16,62.98%
0787,1069,696,672,24,65.11%
0788,991,664,642,22,67.00%
0789,1064,686,672,14,64.47%
0790,893,576,562,14,64.50%
0791,973,645,616,29,66.29%
0792,1245,866,830,36,69.56%
0793,779,529,516,13,67.91%
0794,713,464,450,14,65.08%
0795,1257,856,822,34,68.10%
0796,835,553,532,21,66.23%
0797,970,607,593,14,62.58%
0798,1038,666,639,27,64.16%
0799,965,615,596,19,63.73%
0800,1037,678,660,18,65.38%
0801,1034,642,623,19,62.09%
0802,738,442,428,14,59.89%
0803,768,465,452,13,60.55%
0804,868,555,531,24,63.94%
0805,822,565,549,16,68.73%
