Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,43448,28121,27372,749,64.72%
0665,1114,708,692,16,63.55%
0666,584,378,366,12,64.73%
0667,768,449,439,10,58.46%
0668,930,557,548,9,59.89%
0669,398,245,239,6,61.56%
0670,1014,618,607,11,60.95%
0671,1079,676,668,8,62.65%
0672,1169,740,728,12,63.30%
0673,1232,744,730,14,60.39%
0674,1080,794,765,29,73.52%
0675,1140,791,767,24,69.39%
0676,879,517,500,17,58.82%
0677,874,595,581,14,68.08%
0678,768,586,573,13,76.30%
0679,1218,749,729,20,61.49%
0680,1076,585,565,20,54.37%
0681,1074,624,616,8,58.10%
0682,1166,787,766,21,67.50%
0683,961,672,655,17,69.93%
0684,1142,741,718,23,64.89%
0685,1000,619,593,26,61.90%
0686,1225,704,685,19,57.47%
0687,1390,1031,1013,18,74.17%
0688,979,653,635,18,66.70%
0689,981,643,621,22,65.55%
0690,961,613,595,18,63.79%
0691,1277,797,786,11,62.41%
0692,1111,725,702,23,65.26%
0693,1101,668,649,19,60.67%
0694,1104,619,604,15,56.07%
0695,783,618,589,29,78.93%
0696,887,634,622,12,71.48%
0697,848,589,578,11,69.46%
0698,645,409,394,15,63.41%
0699,1200,799,779,20,66.58%
0700,665,499,478,21,75.04%
0701,1295,839,823,16,64.79%
0702,1218,747,727,20,61.33%
0703,935,663,636,27,70.91%
0704,777,500,490,10,64.35%
0705,1024,617,603,14,60.25%
0706,1078,655,638,17,60.76%
0707,1298,924,880,44,71.19%
